,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation
M011,2,135,111,1715,325,23,553,1689,341,59,39,9060,89,37,273,878,17054,2,2,195,258.0,135,305,661,67,193,2970,295,1485,0.0,9,235,4.0,10,165,383,658,1,571,1825,7,M011,303,662,68,11.0,103,401,7716,181,1.0,18960,662
M033,3,167,75,2055,410,275,521,1907,341,56,40,9175,89,12,89,1001,18744,2,149,242,385.0,167,334,857,66,102,3782,324,1658,0.0,6,235,0.0,10,251,611,466,0,1056,1888,6,M033,303,480,37,42.0,116,397,8242,69,1.0,20675,805
M040,4,101,11,1068,280,22,487,1201,333,53,37,7670,89,72,270,432,14345,2,0,75,282.0,101,297,248,63,107,2966,278,1339,0.0,6,233,0.0,19,153,360,290,0,617,1916,15,M040,303,538,36,8.0,154,386,6950,135,0.0,16228,427
M041,2,77,39,922,246,23,387,1573,333,54,37,7366,89,17,263,802,13912,2,2,12,216.0,77,333,218,63,46,2722,287,1253,168.0,148,232,4.0,46,122,296,390,1,481,1791,43,M041,303,604,37,10.0,95,387,6623,89,0.0,15832,312
M042,3,106,179,1178,211,28,457,1225,342,57,40,9493,89,52,200,575,15062,2,0,384,193.0,106,348,690,66,331,1843,327,1216,0.0,202,235,0.0,21,259,296,779,0,408,769,17,M042,303,530,88,87.0,92,399,7539,119,1.0,17009,96
M047,4,150,230,2374,2352,980,753,2840,339,56,37,13919,89,150,1310,1118,34066,2,0,19,967.0,150,370,462,69,469,9402,359,5382,2.0,712,233,0.0,11,433,1350,1221,1,78,6369,6,M047,303,1429,18,17.0,233,395,11169,160,1.0,36031,1519
M051,4,72,113,1807,480,112,432,1083,342,58,40,8315,89,40,562,472,16450,2,247,276,179.0,72,390,957,67,162,3344,328,1829,0.0,5,235,0.0,62,256,659,951,0,712,1342,58,M051,303,558,29,7.0,125,400,6784,68,1.0,18440,458
M059,2,75,40,1621,377,23,328,4328,333,54,37,8390,89,347,354,453,18281,2,2,7,408.0,75,298,360,63,145,2625,287,1242,3139.0,10,233,4.0,11,131,442,345,1,426,1650,8,M059,303,289,11,8.0,125,387,7451,69,0.0,20165,868
M077,4,85,8,2030,455,22,390,1108,332,52,37,7404,89,966,218,512,15059,2,0,170,207.0,85,280,252,62,158,2592,275,1840,0.0,6,232,0.0,5,238,562,397,0,33,2072,1,M077,303,317,6,375.0,131,384,5598,103,0.0,16923,1385
M089,4,94,34,2392,580,22,340,1314,333,53,37,7493,89,60,153,688,15925,2,0,120,287.0,94,283,351,62,224,3081,277,1549,0.0,28,233,0.0,5,164,398,185,0,295,2412,1,M089,303,470,33,7.0,94,386,6745,99,0.0,17793,1649
M104,2,73,81,1280,511,23,419,1386,338,52,39,6798,89,24,432,725,13057,2,65,8,242.0,73,288,386,66,107,2112,269,1408,0.0,10,234,4.0,18,96,253,415,1,544,870,15,M104,303,357,61,167.0,121,391,6079,91,1.0,14935,501
M111,4,67,128,1462,541,75,375,1477,343,57,39,8791,89,19,362,802,16895,2,117,126,300.0,67,335,606,68,62,3457,323,1642,0.0,174,235,0.0,11,285,384,541,0,533,1956,7,M111,303,578,54,11.0,128,400,7752,63,1.0,18830,464
M114,2,72,242,597,475,57,337,1134,330,47,37,7068,89,75,283,621,11918,2,2,13,176.0,72,270,97,61,105,1390,260,1657,0.0,10,232,4.0,10,187,587,169,1,49,570,7,M114,303,449,43,12.0,134,377,6544,106,0.0,13764,108
M116,2,94,154,1383,244,195,411,1207,332,52,37,7526,89,137,29,644,13424,2,2,88,153.0,94,292,295,62,74,2062,283,1152,0.0,10,233,4.0,9,122,251,827,1,285,1275,6,M116,303,565,36,6.0,86,384,6267,85,0.0,15300,696
M124,2,86,37,1527,375,66,379,1291,341,55,40,8382,89,32,173,647,14124,2,2,418,265.0,86,446,878,65,139,1693,290,1146,0.0,32,235,4.0,156,138,249,576,1,39,1237,154,M124,303,396,126,8.0,118,396,6953,101,1.0,16166,256
M126,2,66,143,1470,238,229,344,1433,341,55,39,9495,89,55,469,778,16389,2,121,173,312.0,66,293,687,67,193,2669,276,1256,0.0,140,235,4.0,17,156,293,749,1,460,1092,14,M126,303,502,34,130.0,93,396,8074,74,1.0,18278,390
M130,2,114,154,1537,363,23,340,1171,341,56,40,7823,89,14,254,654,13602,2,2,342,176.0,114,294,1009,66,182,1782,281,1174,0.0,10,235,4.0,13,81,245,281,1,333,935,11,M130,303,451,9,8.0,108,397,6889,92,1.0,15493,136
M131,4,92,64,1411,405,176,467,1423,343,56,40,9263,89,426,309,700,16628,2,120,146,256.0,92,359,585,68,303,3141,323,1297,0.0,168,234,0.0,36,162,276,637,0,469,1841,32,M131,303,175,129,323.0,118,399,7374,80,1.0,18586,434
M150,4,97,44,1254,9,22,397,4308,333,53,37,9163,89,313,520,485,19015,2,0,235,392.0,97,401,592,62,670,1928,276,2265,3034.0,6,234,0.0,124,485,1121,511,0,36,821,120,M150,303,1036,23,6.0,94,386,7305,99,0.0,21001,270
M151,4,64,90,1368,9,22,488,21521,332,52,37,10284,89,144,1351,894,40837,2,0,950,1877.0,64,279,344,62,907,3601,274,3998,18262.0,9,233,0.0,5,33,2250,648,0,31,2074,1,M151,303,1233,22,5.0,501,384,7341,265,0.0,42700,632
M158,4,86,2,1109,333,78,337,974,333,54,37,7569,89,71,169,461,13004,2,0,344,176.0,86,300,327,63,152,2107,285,1158,0.0,146,233,0.0,15,97,285,407,0,520,1244,11,M158,303,394,8,8.0,137,387,6343,97,0.0,14891,390
M167,2,76,92,992,573,23,411,1267,337,52,39,7117,89,17,323,665,12350,2,2,102,191.0,76,280,271,65,58,1613,269,1286,0.0,11,233,4.0,11,89,202,507,1,440,645,8,M167,303,309,66,95.0,108,389,6251,102,1.0,14219,329
M183,4,125,38,1042,251,22,367,1125,333,54,37,7728,89,232,194,596,13759,2,0,49,162.0,125,285,329,63,106,2697,279,1042,0.0,6,233,0.0,5,121,316,448,0,338,1985,1,M183,303,357,60,8.0,110,387,6720,108,0.0,15631,321
M198,4,127,100,1581,588,22,390,1109,342,59,40,8975,89,18,159,512,17139,2,32,291,207.0,127,334,740,67,119,3798,328,1549,0.0,199,235,0.0,5,155,401,426,0,920,2410,1,M198,303,465,7,9.0,86,401,7785,129,1.0,19073,448
M212,4,107,8,1237,5,22,372,1209,333,54,37,7314,89,14,409,650,14170,2,0,106,187.0,107,329,336,63,134,3030,320,1273,0.0,264,233,0.0,9,246,593,173,0,707,1637,4,M212,303,440,41,7.0,229,387,6478,105,0.0,16086,508
M217,4,155,168,1851,355,206,379,2124,339,51,39,9423,89,14,251,1116,17517,2,169,274,629.0,155,306,929,65,68,2657,271,1307,0.0,7,235,0.0,36,217,511,549,0,687,960,32,M217,303,331,45,5.0,105,391,8381,86,1.0,19414,530
M225,2,77,262,1686,476,25,382,1653,332,45,37,7838,89,26,515,819,15608,2,2,415,451.0,77,266,758,60,147,2115,258,2239,0.0,9,234,4.0,9,258,684,234,1,40,1012,6,M225,303,968,20,5.0,106,377,6920,64,0.0,17451,536
M234,3,99,32,1067,204,24,356,1771,331,51,37,6950,89,11,139,604,12875,2,0,14,327.0,99,334,231,61,172,1942,314,1047,484.0,150,232,0.0,19,86,254,459,0,367,1293,15,M234,303,488,6,5.0,95,382,6014,124,0.0,14791,443
M255,2,73,247,721,37,23,487,1357,331,47,37,6694,89,16,336,588,12206,2,2,22,282.0,73,271,73,62,335,1886,261,1476,0.0,10,232,4.0,10,287,530,636,1,52,939,8,M255,303,534,31,256.0,119,378,5529,111,0.0,14055,255
M260,2,111,222,1085,558,23,553,1689,333,53,37,7241,89,156,389,877,14089,2,2,7,258.0,111,281,82,64,216,1766,271,2197,0.0,10,232,4.0,10,308,833,1383,1,81,740,7,M260,303,651,32,12.0,143,386,5364,69,0.0,15955,610
M276,3,164,10,2078,5,22,412,434,330,47,37,14111,89,22,1869,22,24157,2,0,5,0.0,164,311,364,59,3543,2184,306,5187,0.0,9,233,0.0,5,49,3810,901,0,19,216,2,M276,303,1254,10,5.0,112,376,9404,217,0.0,26044,1322
M288,2,79,361,758,424,23,464,1811,343,54,40,9461,89,26,506,883,16146,2,2,9,462.0,79,283,150,70,343,2104,273,1933,2.0,10,233,4.0,10,163,541,261,1,363,685,7,M288,303,646,107,10.0,312,398,8583,117,1.0,18026,216
M289,2,118,61,1169,527,23,340,1469,336,50,39,6914,89,19,452,843,13774,2,2,200,287.0,118,275,345,64,344,2183,265,1920,0.0,55,233,4.0,10,283,734,702,1,52,1309,8,M289,303,540,36,14.0,105,386,5466,89,1.0,15635,431
M290,4,103,43,762,250,22,356,970,333,54,37,7418,89,69,215,482,12978,2,0,4,132.0,103,325,257,63,116,2630,320,1096,0.0,6,233,0.0,5,121,317,532,0,657,1573,1,M290,303,229,5,7.0,292,387,6589,96,0.0,14890,113
M294,2,115,278,622,269,301,427,1624,342,54,39,8411,89,34,858,781,14462,2,2,7,414.0,115,283,74,70,411,2409,274,1281,2.0,18,233,4.0,10,261,640,356,1,484,224,7,M294,303,227,156,10.0,136,397,7324,101,1.0,16342,155
M296,2,135,348,680,468,232,464,1810,341,52,39,7772,89,114,614,883,13299,2,2,7,462.0,135,284,121,69,392,1686,270,1216,2.0,10,233,4.0,15,147,572,303,1,57,284,12,M296,303,36,65,8.0,134,393,6780,98,1.0,15177,167
M298,4,89,501,1200,9,22,467,1425,342,51,39,7265,89,59,508,701,12803,2,0,4,256.0,89,672,581,68,364,1522,517,1301,2.0,14,234,0.0,155,210,541,233,0,36,245,152,M298,303,585,61,6.0,161,393,6419,111,1.0,15068,227
