,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation
M495,2,170,376,779,626,115,470,1871,344,55,40,8677,89,29,701,1110,17306,4,188,137,289.0,170,300,257,71,121,3197,275,2612,2.0,9,234,4.0,25,179,638,837,1,684,954,22,M495,303,785,9,278.0,284,399,7436,96,1.0,19205,130
M497,2,79,236,1650,37,316,399,1622,338,55,39,9648,89,120,303,931,16881,4,2,314,291.0,79,287,369,65,197,2404,278,1479,0.0,9,234,4.0,10,327,1019,296,2,57,1164,6,M497,303,280,11,7.0,136,393,8594,102,1.0,18762,889
M555,2,260,533,900,475,473,400,1631,343,53,40,8889,89,50,1126,937,16579,4,255,525,293.0,260,541,369,70,123,2925,516,1974,2.0,12,234,4.0,25,277,705,346,1,61,201,22,M555,303,550,31,8.0,237,396,7615,185,1.0,18716,139
M610,8,107,305,850,696,24,371,3832,341,48,40,6837,89,48,323,710,15060,4,0,3,311.0,107,294,335,67,136,1152,281,2282,2441.0,250,234,10.0,13,157,532,272,1,18,325,5,M610,303,896,16,2.0,157,389,6001,102,1.0,16943,122
M635,8,106,212,718,1075,342,386,1353,344,54,40,8492,89,410,617,710,15417,4,186,152,255.0,106,329,211,70,203,2509,293,2240,2.0,193,233,10.0,36,172,529,459,3,48,933,24,M635,303,470,136,13.0,154,398,6798,130,1.0,17345,114
M680,4,79,369,644,1190,151,355,1218,346,57,40,8551,89,134,642,308,15980,4,0,121,164.0,79,370,157,72,65,2251,360,3238,391.0,7,233,0.0,10,201,675,304,1,64,824,5,M680,303,1084,1,10.0,279,403,7815,104,1.0,17953,94
M695,2,74,942,1082,737,759,481,1612,356,60,43,14224,89,312,968,852,30627,4,2,62,278.0,74,309,591,76,396,4363,296,9272,2.0,41,237,4.0,12,1480,5382,3170,1,66,147,9,M695,303,3005,2,8.0,140,416,10111,126,1.0,32551,98
M825,2,107,288,1033,952,136,396,1135,341,54,40,8911,89,100,350,592,15524,4,190,7,147.0,107,314,524,67,278,2343,273,1994,0.0,51,235,4.0,42,424,620,854,1,430,525,38,M825,303,255,61,9.0,158,395,7434,124,1.0,17434,116
M964,2,80,236,2140,37,78,382,1363,341,58,39,11216,89,45,545,760,20416,4,2,521,221.0,80,300,694,67,179,3981,283,1637,0.0,518,235,4.0,17,250,993,1282,2,71,2799,13,M964,303,504,2,9.0,93,400,8587,78,1.0,22316,1053
M030,5,99,1038,2936,1853,575,383,2565,348,66,41,19377,91,85,2198,1672,37921,5,2,1522,509.0,99,743,823,72,223,8837,332,4108,0.0,466,235,1.0,410,293,753,2313,1,1353,3378,405,M030,304,1281,104,111.0,109,414,14575,87,1.0,40277,1719
M036,5,97,163,2009,277,214,412,1579,341,58,40,10719,91,54,509,836,19462,5,2,734,332.0,97,339,695,67,79,3286,320,1772,0.0,8,235,1.0,19,160,392,623,1,66,2171,14,M036,304,777,49,225.0,102,400,9076,94,1.0,21400,920
M046,2,74,161,1437,479,21,366,1287,342,57,40,9706,91,57,1003,591,15998,5,0,613,330.0,74,300,773,67,66,2253,295,1241,0.0,204,235,0.0,4,188,324,1527,1,310,570,1,M046,303,326,39,6.0,106,400,7135,66,1.0,17897,269
M092,5,107,563,3334,1791,113,433,1475,345,63,40,14227,91,216,544,778,29665,5,2,685,263.0,107,351,1090,69,127,6573,327,3948,0.0,10,235,1.0,23,247,767,1422,1,1112,3993,18,M092,304,779,254,463.0,147,408,11447,66,1.0,31623,1850
M123,2,78,495,1803,338,240,493,1528,342,58,40,9978,91,39,612,821,18163,5,2,415,215.0,78,321,698,67,88,3125,311,1651,0.0,177,235,4.0,9,150,382,969,1,446,1181,6,M123,303,579,122,199.0,153,400,8075,89,1.0,20084,711
M125,2,169,495,2118,726,26,404,2011,350,65,42,16414,91,518,1371,1131,29059,5,289,284,476.0,169,329,570,72,183,5658,303,2689,0.0,623,236,4.0,26,355,881,2356,2,1501,1621,21,M125,303,827,122,10.0,244,416,12189,135,1.0,31004,1154
M129,3,81,278,2012,617,336,339,1514,343,59,40,10177,91,67,208,911,18738,5,149,557,265.0,81,337,674,68,80,2615,326,2339,0.0,192,235,4.0,10,225,417,991,1,72,1347,7,M129,303,1115,88,13.0,177,402,8125,72,1.0,20677,944
M133,5,100,118,3215,575,315,637,2569,346,63,40,11533,91,41,435,1466,23767,5,2,582,467.0,100,391,1060,70,67,4500,328,1850,0.0,378,235,1.0,63,219,640,1139,5,1171,2241,53,M133,304,523,56,13.0,99,409,9191,77,1.0,25766,1760
M154,5,91,206,2324,878,464,423,2087,345,61,40,11114,91,43,234,1276,21824,5,2,933,388.0,91,380,982,69,151,3423,325,2785,0.0,300,235,1.0,56,289,579,1033,1,614,1614,51,M154,304,1156,53,20.0,153,406,8516,82,1.0,23811,947
M161,3,134,886,1916,821,126,350,1082,343,60,40,10080,91,50,284,548,18205,5,77,257,184.0,134,302,1070,68,193,2960,282,2033,0.0,130,235,0.0,20,168,272,1154,1,421,998,17,M161,303,791,185,8.0,141,403,8026,85,1.0,20111,452
M175,1,81,176,1661,947,844,414,1137,340,54,40,9060,91,47,165,577,16720,5,2,554,146.0,81,366,831,65,85,2445,352,2336,0.0,277,235,4.0,14,189,540,1019,1,51,1018,12,M175,303,759,115,5.0,84,394,6838,120,1.0,18680,436
M194,3,122,468,2480,5,461,417,1395,346,63,40,14440,91,471,394,695,23614,5,0,471,283.0,122,806,1016,70,212,3593,761,1583,0.0,6,235,0.0,45,436,721,3087,3,72,1761,40,M194,303,673,202,10.0,173,409,9879,111,1.0,26029,1071
M195,5,125,577,2001,1022,388,426,1455,345,58,41,11647,91,437,1012,722,22632,5,174,448,307.0,125,413,759,70,161,5050,318,2354,0.0,198,235,1.0,96,186,388,1012,1,629,2083,90,M195,304,793,164,19.0,131,404,9149,77,1.0,24649,848
M197,5,115,245,2743,925,159,458,1264,348,63,41,12177,91,41,675,638,24221,5,186,923,168.0,115,377,1068,71,83,5133,328,2789,0.0,344,236,1.0,49,220,596,890,1,657,2990,44,M197,304,801,43,344.0,122,411,9775,77,1.0,26209,1281
M200,4,200,439,2195,677,57,328,539,344,60,41,11972,91,442,751,99,20423,5,2,409,112.0,200,419,970,68,69,3616,322,1902,0.0,292,236,1.0,97,191,417,613,1,750,1426,92,M200,304,715,68,9.0,84,404,10002,76,1.0,22446,831
M285,3,130,346,633,782,304,472,2431,340,51,39,11922,91,3155,384,1546,20206,5,79,62,411.0,130,410,131,68,109,1565,353,3525,2.0,5,233,0.0,57,292,983,303,1,41,118,53,M285,303,1637,23,5.0,118,391,8157,109,1.0,22206,108
M286,2,159,657,1113,804,347,401,1213,342,55,40,7500,91,164,1244,597,17799,5,0,238,215.0,159,263,572,67,411,5126,257,2688,0.0,5,235,0.0,5,1172,807,678,1,57,1649,2,M286,306,682,67,10.0,385,396,5870,67,1.0,19657,145
M302,2,82,190,1127,1266,22,358,1143,342,54,40,7638,91,48,385,617,14808,5,2,7,167.0,82,355,488,67,109,1174,347,3645,0.0,11,235,4.0,8,262,796,764,1,65,247,6,M302,303,1043,86,401.0,139,396,6538,72,1.0,16759,245
M304,2,92,320,663,869,87,358,1145,342,52,40,7830,91,97,673,618,13940,5,2,290,167.0,92,371,126,69,135,1864,333,2346,2.0,4,233,4.0,37,213,568,761,1,66,503,35,M304,303,481,65,278.0,150,394,6387,88,1.0,15905,143
M317,3,62,203,1462,1226,193,383,2487,344,60,40,12043,91,39,1011,1595,23516,5,0,438,509.0,62,282,352,70,221,2412,241,5050,0.0,0,234,0.0,41,264,1450,220,0,90,651,38,M317,303,1471,141,798.0,104,404,10909,74,1.0,25402,715
M318,8,94,165,1362,5,20,428,3625,339,52,40,8331,91,30,19,519,16445,5,0,3,0.0,94,308,773,64,196,1000,298,2034,2678.0,14,235,10.0,10,367,991,744,2,22,407,0,M318,303,942,10,2.0,94,391,7244,79,1.0,18344,195
M344,3,289,334,947,15,570,433,1396,344,58,41,9952,91,52,492,699,16954,5,0,294,263.0,289,268,368,69,131,2283,254,2088,0.0,7,234,7.0,14,244,1044,3514,1,64,579,11,M344,303,735,171,18.0,312,402,5636,140,1.0,18824,185
M362,2,191,328,1084,517,47,404,1784,335,44,39,5610,91,150,31,903,11412,5,0,0,476.0,191,341,575,62,792,652,335,2092,0.0,4,234,0.0,6,228,713,498,0,11,8,3,M362,303,455,9,0.0,407,379,4051,106,1.0,13332,115
M367,5,77,519,793,364,21,401,1215,344,54,40,9463,91,171,108,597,15567,5,0,4,215.0,77,292,275,70,226,2114,274,1905,2.0,11,233,0.0,18,466,554,1345,1,383,617,12,M367,303,561,137,256.0,170,398,7373,197,1.0,17457,124
M369,3,73,318,800,5,104,401,1215,342,51,40,7066,91,36,582,597,12549,5,54,1,215.0,73,364,262,69,348,1404,359,1992,2.0,4,233,0.0,6,207,676,227,1,42,96,1,M369,303,874,10,287.0,150,393,6320,120,1.0,14507,144
M410,4,233,1008,1979,5,27,401,1213,339,54,39,11557,91,238,757,597,21847,5,0,449,215.0,233,368,268,67,1628,2019,363,4846,0.0,6,233,0.0,5,27,2770,461,0,57,141,1,M410,303,1670,21,8.0,393,392,8658,96,1.0,23808,1317
M469,2,75,635,1060,828,211,421,1949,342,52,40,10507,91,475,404,1067,18283,5,2,7,460.0,75,303,389,69,206,2324,284,2367,2.0,285,234,4.0,18,401,532,1056,1,63,608,15,M469,303,585,121,287.0,135,394,8272,82,1.0,20179,277
M499,2,90,225,821,646,184,354,1400,340,48,39,6574,91,31,267,814,11489,5,2,137,230.0,90,347,196,67,127,995,303,1611,2.0,10,233,81.0,43,93,179,283,1,47,176,40,M499,303,661,121,8.0,116,388,5689,96,1.0,13424,231
M670,8,84,222,828,572,255,346,2410,341,50,40,7692,91,37,199,1023,13827,5,0,5,436.0,84,310,321,68,137,1027,291,1786,605.0,194,233,10.0,19,148,429,591,1,34,169,11,M670,303,666,203,7.0,112,391,6427,87,1.0,15728,114
M685,3,89,473,672,964,23,358,985,342,54,39,7805,91,427,837,458,14434,5,157,115,167.0,89,361,158,70,47,2560,354,2323,2.0,0,233,0.0,7,133,454,776,0,301,636,4,M685,303,727,92,8.0,171,395,6241,107,1.0,16391,120
M692,1,133,269,665,1192,137,330,954,331,42,37,10291,91,101,633,182,16418,5,2,6,440.0,133,266,64,62,656,1462,258,2912,2.0,10,232,4.0,8,340,541,553,1,33,49,6,M692,303,870,43,2.0,307,373,8750,168,0.0,18256,208
M004,2,100,219,1773,793,132,429,1531,344,60,40,11043,89,412,216,771,20107,6,2,336,331.0,100,394,765,68,134,3944,379,1717,0.0,191,236,4.0,15,114,370,1175,1,540,2721,12,M004,303,449,40,8.0,96,404,8657,95,1.0,22105,615
M005,2,104,125,1669,423,77,389,1806,345,61,41,9991,89,26,518,1101,17463,6,25,322,317.0,104,683,792,68,77,2460,427,1433,0.0,10,236,4.0,256,105,295,902,1,469,1141,253,M005,303,576,113,9.0,129,406,8470,68,1.0,19752,485
M008,3,137,188,1926,328,23,451,1975,345,61,41,10137,89,505,455,1071,18303,6,119,438,453.0,137,656,1140,68,76,2212,640,1917,0.0,203,236,4.0,15,156,385,1397,1,60,1210,12,M008,303,741,93,212.0,251,406,7307,114,1.0,20565,394
M018,3,145,226,2451,408,25,430,1906,342,54,40,9337,89,441,365,1336,18274,6,2,336,140.0,145,345,1052,66,151,2100,330,2335,0.0,105,236,4.0,15,342,591,959,1,47,1093,12,M018,303,806,57,345.0,185,395,7137,148,1.0,20214,1007
M028,3,156,126,1647,583,86,390,1307,343,60,41,10000,89,72,224,695,16730,6,2,434,222.0,156,361,769,67,117,2225,344,1395,0.0,150,235,4.0,17,115,266,1647,1,409,1264,13,M028,303,411,114,10.0,126,403,7395,67,1.0,18694,486
M048,3,142,201,1910,582,21,410,1835,343,61,40,9398,89,45,323,990,18370,6,2,218,434.0,142,355,778,68,71,3119,345,1966,0.0,180,235,4.0,10,204,379,1519,1,576,1791,7,M048,303,855,81,10.0,139,404,7213,66,1.0,20329,739
M052,3,74,208,1605,428,135,408,1643,345,57,41,11366,89,412,438,932,18844,6,109,292,303.0,74,363,703,69,62,2461,335,1695,0.0,11,236,4.0,28,109,301,727,2,499,963,22,M052,303,368,112,485.0,113,402,9678,70,1.0,20809,510
M098,3,75,145,1759,264,201,386,1590,343,59,41,10602,89,416,260,937,17896,6,2,483,266.0,75,384,705,67,135,2379,342,1491,0.0,153,236,4.0,42,113,304,854,1,489,1168,39,M098,303,577,59,176.0,170,402,8428,69,1.0,19882,661
M115,3,81,94,1720,712,65,393,1512,346,60,41,10637,89,424,414,835,17966,6,102,342,284.0,81,360,834,68,178,2192,344,1824,0.0,194,236,4.0,16,110,322,470,1,560,847,12,M115,303,619,67,8.0,164,406,8854,106,1.0,19931,494
M128,2,102,306,1795,501,76,386,1646,344,61,40,10470,89,481,566,924,18489,6,113,292,336.0,102,486,881,68,284,2901,320,1574,0.0,12,236,4.0,166,185,309,932,1,383,1271,163,M128,303,465,213,172.0,128,405,8173,80,1.0,20580,522
M132,2,96,132,1567,707,129,450,1653,346,63,41,9991,89,41,541,1043,18731,6,105,236,161.0,96,413,806,69,85,3352,326,2071,0.0,15,236,4.0,87,137,283,717,1,247,2062,84,M132,303,901,40,9.0,171,410,8767,86,1.0,20754,369
M143,3,64,132,1925,790,69,382,1358,344,57,40,10784,89,413,315,732,19067,6,2,172,245.0,64,380,726,68,68,2924,335,2013,0.0,177,235,4.0,44,108,333,443,1,523,1775,40,M143,303,662,164,13.0,214,401,9253,90,1.0,21048,806
M152,3,94,73,1545,822,22,345,1392,343,60,40,10284,89,411,441,790,17287,6,2,186,257.0,94,438,842,68,141,2154,343,1817,0.0,201,235,4.0,95,177,270,811,1,490,950,91,M152,303,585,160,9.0,132,403,8294,77,1.0,19328,310
M153,2,102,185,1651,548,281,403,1232,342,58,40,8620,89,65,385,548,16190,6,69,337,280.0,102,300,667,67,89,2624,292,1961,0.0,13,235,0.0,8,99,219,706,0,361,1243,5,M153,303,976,62,11.0,208,400,7229,117,1.0,18090,591
M173,2,88,113,1640,909,116,437,1618,341,57,40,9742,89,14,451,908,17367,6,2,299,273.0,88,326,799,66,49,2313,312,1967,0.0,4,235,4.0,13,153,323,903,1,544,933,11,M173,303,560,76,5.0,169,398,8297,96,1.0,19291,448
M178,3,143,411,3030,706,23,412,2731,344,63,40,11081,89,103,563,1715,32724,6,2,42,603.0,143,428,749,69,169,12193,347,3546,0.0,166,235,4.0,80,632,911,1543,1,1172,9390,76,M178,303,1632,96,13.0,284,407,8861,98,1.0,34759,1889
M187,2,116,133,1239,226,20,377,1183,339,51,39,8370,89,16,327,634,13847,6,0,193,173.0,116,279,521,65,146,1663,273,1276,0.0,147,235,0.0,6,120,276,663,0,238,825,3,M187,303,656,54,6.0,111,389,7058,94,1.0,15715,325
M189,3,161,216,1579,543,60,355,1197,342,58,40,9135,89,24,362,622,15466,6,66,437,220.0,161,386,895,66,185,1782,341,1611,0.0,108,235,4.0,45,156,219,580,1,162,760,41,M189,303,624,151,121.0,105,400,7563,83,1.0,17452,291
M192,2,154,286,1875,489,350,461,1420,344,61,41,12224,89,24,802,705,21589,6,0,901,254.0,154,443,629,68,472,3981,317,1936,0.0,9,236,0.0,126,167,425,1258,1,834,1541,123,M192,303,857,125,10.0,155,405,9358,76,1.0,23636,853
M210,2,83,220,2306,363,142,328,1952,342,54,40,10343,89,476,350,1057,18231,6,157,442,567.0,83,421,920,66,81,1784,364,1762,0.0,10,236,4.0,57,204,518,1307,1,53,657,55,M210,303,691,72,7.0,183,396,7858,94,1.0,20248,993
M218,2,135,475,1947,534,131,368,1423,346,59,41,12289,89,415,278,758,21115,6,51,35,297.0,135,358,980,70,95,3162,314,2160,0.0,40,236,4.0,44,228,590,1270,1,635,1364,41,M218,303,433,216,338.0,265,405,10114,99,1.0,23078,575
M223,2,100,310,1959,864,389,461,1140,340,47,40,8672,89,303,290,531,16219,6,2,6,147.0,100,378,746,64,126,1304,324,3043,0.0,7,235,4.0,53,233,639,606,1,27,53,50,M223,303,1010,26,325.0,204,387,7497,98,1.0,18184,821
M278,3,112,237,2019,343,156,329,2778,342,55,40,8184,89,77,277,182,17210,6,2,195,251.0,112,341,826,67,62,2266,330,1852,2016.0,123,235,4.0,11,153,455,484,1,63,1378,7,M278,303,441,28,471.0,143,397,7131,79,1.0,19148,800
M293,2,57,629,1064,37,21,368,1425,345,55,40,8119,89,61,632,758,13966,6,2,32,297.0,57,607,523,70,167,2139,586,1162,2.0,9,235,4.0,21,224,571,1064,1,67,563,18,M293,303,415,100,9.0,130,400,6565,118,1.0,16173,148
M311,8,90,224,2179,5,277,377,1213,340,52,40,8200,89,17,300,583,15862,6,0,325,253.0,90,329,636,65,172,2885,309,1295,0.0,6,235,10.0,20,221,523,633,1,32,1831,11,M311,303,288,23,315.0,164,392,6944,70,1.0,17784,1151
M314,2,97,229,1938,37,21,377,1373,339,57,39,9375,89,99,321,743,16446,6,2,469,253.0,97,339,601,66,214,2399,302,1265,0.0,10,234,4.0,37,297,760,425,1,663,866,34,M314,303,307,52,8.0,154,396,8019,83,1.0,18381,945
M319,2,90,367,1358,994,87,466,1604,343,55,40,8652,89,25,447,775,16751,6,2,106,363.0,90,378,707,67,188,2735,365,2311,0.0,10,235,4.0,13,149,418,910,1,382,1301,11,M319,303,384,175,217.0,298,398,7161,73,1.0,18727,258
M321,2,261,453,1317,811,752,466,1444,347,57,42,10296,89,473,1276,615,20943,6,0,364,363.0,261,310,637,69,110,4905,288,2720,0.0,18,236,0.0,23,384,1200,615,1,1648,392,19,M321,303,518,142,4.0,187,404,8468,106,1.0,22857,288
M322,2,88,462,1200,1008,306,368,1423,342,54,40,9132,89,429,303,758,16485,6,2,102,297.0,88,376,584,67,312,2050,363,2592,0.0,68,235,4.0,12,161,476,1085,1,57,760,10,M322,303,360,238,537.0,211,396,6738,154,1.0,18456,224
M324,2,120,284,1875,763,207,466,1605,342,55,40,9450,89,17,466,775,18252,6,192,421,363.0,120,374,704,67,273,3332,365,1870,0.0,9,235,4.0,9,370,555,1086,1,63,1750,6,M324,303,209,96,238.0,104,398,7424,119,1.0,20223,778
M325,2,77,268,2298,508,224,461,1574,347,64,41,11318,89,57,179,859,19440,6,211,438,254.0,77,394,896,70,113,2226,385,1948,0.0,12,236,4.0,9,210,547,790,1,67,1066,6,M325,303,666,90,11.0,216,411,9714,100,1.0,21445,1010
M326,3,158,666,1169,858,194,377,1361,345,58,40,10526,89,30,582,739,19304,6,2,11,245.0,158,350,694,69,362,3357,337,2733,0.0,25,235,4.0,13,205,627,1636,1,433,1274,9,M326,303,515,153,333.0,400,403,8235,71,1.0,21256,82
M328,2,118,555,1331,1104,133,377,1361,345,58,41,11072,89,481,705,739,19349,6,2,291,245.0,118,424,694,69,273,2394,371,3073,0.0,278,235,4.0,53,180,506,1044,3,192,627,48,M328,303,806,230,414.0,243,403,8401,70,1.0,21375,244
M346,8,61,497,975,727,35,402,4340,345,56,40,8236,89,24,520,489,17816,6,0,5,271.0,61,329,393,71,390,2002,317,2201,3178.0,5,234,10.0,12,186,555,1072,2,54,711,2,M346,303,615,51,9.0,295,401,6612,67,1.0,19746,190
M348,3,90,526,1462,5,175,382,1200,346,55,40,9364,89,56,592,572,15354,6,0,19,245.0,90,379,719,71,373,2184,369,1054,2.0,75,235,0.0,11,198,516,1385,0,47,645,7,M348,303,381,58,9.0,143,401,7270,128,1.0,17335,351
M349,3,133,312,1430,1193,452,439,1501,340,52,40,9553,89,212,883,776,19054,6,0,74,287.0,133,397,959,64,608,2348,384,4087,0.0,6,236,0.0,13,492,1319,615,1,3,206,9,M349,303,1290,133,6.0,279,392,7827,77,1.0,21042,79
M366,2,121,193,1274,908,73,345,1370,339,54,40,7384,89,18,31,768,14994,6,2,7,257.0,121,340,822,65,23,1558,330,3286,0.0,9,235,4.0,10,71,1228,256,1,36,1152,6,M366,303,970,35,9.0,170,393,6965,68,1.0,16927,59
M368,2,85,85,1680,5,20,349,2515,341,54,40,8278,89,9,199,510,16059,6,0,24,66.0,85,302,1211,65,66,1600,298,1901,1590.0,6,237,0.0,4,323,883,361,1,14,961,1,M368,303,810,33,2.0,200,395,7634,145,1.0,17956,77
M423,6,70,961,1075,7,158,374,2035,349,64,39,15651,89,2747,1142,534,27473,6,0,4,0.0,70,313,533,75,1784,4472,304,4170,1127.0,8,234,0.0,9,1064,2585,1751,1,120,1026,2,M423,303,1099,22,20.0,458,413,8948,386,1.0,29399,150
M462,3,200,407,812,1239,189,439,1411,344,54,40,7583,89,245,486,655,15431,6,0,3,316.0,200,292,222,70,169,2601,286,2823,2.0,100,234,82.0,6,243,360,541,0,974,302,3,M462,303,1041,105,5.0,178,398,6093,245,1.0,17321,197
M463,2,102,345,781,1325,291,439,1411,342,52,40,7499,89,12,374,654,13974,6,0,15,316.0,102,286,228,69,189,1555,281,2627,2.0,109,234,88.0,5,139,370,558,0,29,377,2,M463,303,714,88,6.0,212,394,6307,132,1.0,15854,160
M467,3,112,365,788,1287,219,439,1410,342,53,39,7777,89,21,631,654,14543,6,0,7,316.0,112,380,228,69,100,1914,282,2542,2.0,105,233,80.0,98,113,371,485,0,123,463,95,M467,303,724,127,7.0,153,394,6757,94,1.0,16517,167
M468,3,136,439,773,1045,455,439,1413,344,54,40,8623,89,12,437,656,15670,6,0,6,317.0,136,290,225,70,172,2229,285,2497,2.0,105,234,83.0,5,138,383,330,0,33,726,2,M468,303,949,145,7.0,112,397,7663,107,1.0,17557,155
M528,2,134,249,1373,1115,21,375,667,342,52,40,7942,89,68,386,22,15240,6,0,197,270.0,134,308,866,66,101,2137,265,2987,0.0,248,235,0.0,43,453,854,622,1,27,1002,40,M528,306,813,53,4.0,201,394,6571,81,1.0,17142,111
M540,2,152,252,892,516,298,406,1209,340,48,39,7046,89,39,359,710,12792,6,2,12,92.0,152,634,257,67,299,1626,513,1866,2.0,90,233,156.0,121,81,178,389,1,246,389,118,M540,303,954,100,6.0,212,388,5846,114,1.0,15013,242
M552,2,165,504,1121,975,249,369,2108,341,50,40,8129,89,8,574,1095,16091,6,0,0,642.0,165,307,604,66,317,1824,281,2745,2.0,18,235,0.0,26,192,483,855,0,273,31,24,M552,303,1124,222,0.0,164,391,6429,281,1.0,17989,125
X001,4,88,320,1863,327,79,363,1278,343,59,40,8194,89,68,366,627,15363,7,0,137,288.0,88,465,822,67,517,2711,433,1229,0.0,200,235,0.0,31,191,294,486,0,664,1092,27,X001,303,488,13,7.0,114,402,6705,68,1.0,17430,648
X005,7,61,256,1926,402,233,466,1656,344,60,40,9655,89,112,425,854,17468,7,2,225,336.0,61,346,805,68,115,2879,311,1291,0.0,201,235,3.0,35,144,392,895,1,620,1199,27,X005,303,342,201,12.0,143,405,7768,135,1.0,19418,728
X018,4,121,248,2127,309,349,352,1280,343,60,40,9702,89,486,662,770,19053,7,0,321,158.0,121,594,854,68,251,4025,330,1799,0.0,496,235,0.0,263,145,599,1074,1,637,1984,258,X018,303,564,27,229.0,99,404,6978,69,1.0,21251,880
X025,4,254,172,3206,983,21,330,1451,344,61,40,11292,89,599,332,815,21725,7,0,292,307.0,254,314,996,68,319,3112,300,2409,0.0,5,236,0.0,14,187,551,584,0,961,1441,10,X025,303,738,51,9.0,128,405,9371,70,1.0,23644,1817
X029,6,77,260,1521,499,205,347,1310,343,55,40,9822,89,74,508,729,17438,7,2,527,234.0,77,376,624,68,157,2672,269,2036,0.0,147,235,3.0,107,115,296,692,1,476,1106,100,X029,303,686,33,442.0,113,399,8103,86,1.0,19413,505
X030,6,62,114,2312,798,316,478,1959,345,61,41,9989,89,540,635,1161,20413,7,2,139,320.0,62,333,965,69,266,3719,278,2372,0.0,11,235,3.0,55,196,439,1168,1,739,1717,48,X030,303,695,268,315.0,124,406,7526,68,1.0,22352,955
X031,6,68,147,1983,517,205,350,1501,344,56,40,10980,89,532,353,843,18813,7,2,274,307.0,68,278,703,68,69,2214,263,2067,0.0,160,235,3.0,15,119,314,657,1,393,996,8,X031,303,641,154,486.0,109,399,8975,156,1.0,20691,887
X043,6,124,110,1757,784,97,337,1498,344,58,41,12211,89,544,590,906,20477,7,2,353,256.0,124,286,851,67,360,2954,271,1932,0.0,304,236,3.0,14,369,462,418,2,763,1024,6,X043,303,355,27,229.0,102,402,10129,74,1.0,22364,514
X049,6,138,203,1754,859,268,348,1364,344,60,40,11720,89,512,649,753,20022,7,2,897,263.0,138,309,771,68,237,2662,285,2384,0.0,177,236,3.0,24,146,359,940,1,449,945,18,X049,303,1045,44,11.0,111,404,8791,120,1.0,21935,591
X065,4,48,381,2953,394,242,390,1529,345,62,40,10832,89,487,303,800,20825,7,41,839,339.0,48,349,918,69,354,3496,333,1967,0.0,6,235,0.0,16,202,466,1157,0,739,1589,11,X065,303,644,68,369.0,94,407,7572,350,1.0,22781,1642
X151,3,238,294,2440,551,189,350,1240,344,59,40,11769,89,459,954,600,21337,7,245,217,291.0,238,618,850,69,455,3348,286,2302,0.0,163,235,0.0,332,161,1041,2124,0,69,1436,329,X151,303,556,189,10.0,144,403,8091,70,1.0,23558,1197
X154,3,88,203,2502,582,563,459,1579,345,62,40,10515,89,285,531,827,20248,7,0,245,292.0,88,735,1006,69,87,3670,591,1895,0.0,224,236,0.0,144,138,530,650,1,618,1616,141,X154,303,382,94,264.0,136,408,8828,102,1.0,22591,1103
X157,6,69,281,1553,885,361,401,1551,344,59,40,10192,89,92,646,905,18951,7,2,481,245.0,69,478,687,68,130,3388,283,2197,0.0,398,235,3.0,195,147,389,814,1,558,1392,189,X157,303,820,182,9.0,95,403,8024,69,1.0,21031,474
X161,7,80,94,2632,366,163,415,1423,345,65,40,12850,89,143,676,779,22393,7,2,690,229.0,80,544,801,70,224,3842,411,1566,0.0,208,235,3.0,133,203,408,865,1,530,2173,125,X161,303,659,23,16.0,118,411,10513,181,1.0,24548,1438
X162,6,133,10,1680,700,27,406,1576,345,59,40,10199,89,460,582,918,18403,7,2,281,252.0,133,322,610,70,69,3094,270,1720,0.0,122,235,3.0,52,139,285,312,1,400,1934,45,X162,303,622,118,12.0,100,404,8763,70,1.0,20329,678
X179,3,72,203,1518,811,68,394,1168,343,60,40,9614,89,139,566,564,17089,7,0,250,211.0,72,298,724,68,168,2686,293,2032,0.0,6,235,0.0,5,213,508,638,1,398,1238,1,X179,303,601,23,6.0,105,403,8321,69,1.0,18990,401
X203,7,86,162,1504,1160,411,469,1650,347,61,41,12951,89,456,612,854,25093,7,239,3,326.0,86,348,617,71,174,5778,332,3123,0.0,345,235,3.0,16,402,730,333,1,1797,2156,9,X203,303,656,136,438.0,139,408,11443,59,1.0,27049,495
