,YEAR,LCGGEOX,LCGGEOY,BNLONG
19010,2010,-73.9848,40.77433,M283
19011,2010,-73.9848,40.77433,M299
19012,2010,-73.9848,40.77433,M307
19013,2010,-73.9707,40.79163,M333
19014,2010,-73.9765,40.78062,M334
19015,2010,-73.9747,40.78593,M402
19016,2010,-73.9747,40.78593,M403
19017,2010,-73.9747,40.78593,M404
19018,2010,-73.954,40.80223,M415
19019,2010,-73.9765,40.78062,M421
19020,2010,-73.9747,40.78593,M470
19021,2010,-73.9877,40.77219,M479
19022,2010,-73.9853,40.77358,M485
19023,2010,-73.9848,40.77433,M492
19024,2010,-73.9848,40.77433,M494
19025,2010,-73.9668,40.79749,M505
19026,2010,-73.9848,40.77433,M541
19029,2010,-73.9825,40.77491,M859
19030,2010,-73.954,40.80223,M860
19031,2010,-73.9653,40.80272,M862
19032,2010,-73.9393,40.80094,M007
19033,2010,-73.9423,40.79303,M012
19034,2010,-73.9493,40.79367,M013
19035,2010,-73.931,40.79747,M037
19036,2010,-73.9446,40.78893,M038
19037,2010,-73.9334,40.79887,M045
19038,2010,-73.9415,40.78533,M050
19039,2010,-73.9413,40.79751,M057
19040,2010,-73.9476,40.7912,M072
19041,2010,-73.9426,40.7933,M083
19042,2010,-73.9377,40.80027,M096
19043,2010,-73.9442,40.79565,M101
19044,2010,-73.9387,40.79496,M102
19045,2010,-73.9483,40.79509,M108
19046,2010,-73.9309,40.79675,M112
19047,2010,-73.9423,40.79303,M117
19048,2010,-73.9393,40.78942,M146
19049,2010,-73.9365,40.79742,M155
19050,2010,-73.952,40.7922,M171
19051,2010,-73.9426,40.7933,M182
19052,2010,-73.931,40.79747,M206
19053,2010,-73.9426,40.78565,M224
19054,2010,-73.9423,40.79303,M372
19055,2010,-73.9442,40.79565,M375
19056,2010,-73.9426,40.78565,M377
19057,2010,-73.9423,40.79303,M381
19058,2010,-73.9393,40.80094,M406
19059,2010,-73.9334,40.79887,M409
19060,2010,-73.934,40.79375,M435
19061,2010,-73.9445,40.79053,M495
19062,2010,-73.9493,40.79367,M497
19063,2010,-73.9493,40.79367,M555
19064,2010,-73.9475,40.79285,M610
19065,2010,-73.9426,40.78565,M635
19066,2010,-73.9466,40.79189,M680
19067,2010,-73.9334,40.79887,M695
19069,2010,-73.934,40.79375,M825
19070,2010,-73.952,40.7922,M964
19071,2010,-73.9346,40.80566,M030
19072,2010,-73.9573,40.81027,M036
19073,2010,-73.9363,40.83065,M046
19074,2010,-73.9449,40.81488,M092
19075,2010,-73.9442,40.81975,M123
19076,2010,-73.9556,40.81043,M125
19077,2010,-73.9518,40.81468,M129
19078,2010,-73.9398,40.80956,M133
19079,2010,-73.949,40.81089,M154
19080,2010,-73.9531,40.81764,M161
19081,2010,-73.9436,40.81447,M175
19082,2010,-73.9409,40.82146,M194
19083,2010,-73.9572,40.8194,M195
19084,2010,-73.9373,40.81325,M197
19085,2010,-73.9368,40.82441,M200
19086,2010,-73.94,40.80793,M285
19087,2010,-73.9551,40.81524,M286
19088,2010,-73.9476,40.81732,M302
19089,2010,-73.9476,40.81732,M304
19090,2010,-73.9346,40.80566,M317
19091,2010,-73.9381,40.82612,M318
19092,2010,-73.9449,40.81488,M344
19093,2010,-73.9556,40.81043,M362
19094,2010,-73.9551,40.81524,M367
19095,2010,-73.9551,40.81524,M369
19096,2010,-73.9551,40.81524,M410
19097,2010,-73.9393,40.80736,M469
19098,2010,-73.9369,40.82418,M499
19099,2010,-73.9442,40.81547,M670
19100,2010,-73.9476,40.81732,M685
19101,2010,-73.949,40.82097,M692
19103,2010,-73.9407,40.8347,M004
19104,2010,-73.9228,40.85896,M005
19105,2010,-73.9367,40.83894,M008
19106,2010,-73.9116,40.87128,M018
19107,2010,-73.942,40.83127,M028
19108,2010,-73.934,40.85337,M048
19109,2010,-73.9249,40.86609,M052
19110,2010,-73.9169,40.86769,M098
19111,2010,-73.9353,40.84652,M115
19112,2010,-73.9384,40.84124,M128
19113,2010,-73.9343,40.85056,M132
19114,2010,-73.9308,40.84892,M143
19115,2010,-73.9279,40.86032,M152
19116,2010,-73.9468,40.82634,M153
19117,2010,-73.9404,40.84536,M173
19118,2010,-73.9279,40.85933,M178
19119,2010,-73.9369,40.85681,M187
19120,2010,-73.9277,40.85259,M189
19121,2010,-73.9509,40.82079,M192
19122,2010,-73.9444,40.82976,M210
19123,2010,-73.9306,40.86064,M218
19124,2010,-73.9523,40.81695,M223
19125,2010,-73.912,40.87125,M278
19126,2010,-73.9306,40.86064,M293
19127,2010,-73.9238,40.86666,M311
19128,2010,-73.9238,40.86666,M314
19129,2010,-73.936,40.83935,M319
19130,2010,-73.936,40.83935,M321
19131,2010,-73.9306,40.86064,M322
19132,2010,-73.936,40.83935,M324
19133,2010,-73.9509,40.82079,M325
19134,2010,-73.937,40.83654,M326
19135,2010,-73.937,40.83654,M328
19136,2010,-73.9328,40.85058,M346
19137,2010,-73.9308,40.84892,M348
19138,2010,-73.9404,40.84536,M349
19139,2010,-73.9279,40.86032,M366
19140,2010,-73.9442,40.83033,M368
19141,2010,-73.9388,40.84516,M423
19143,2010,-73.9269,40.85594,M462
19144,2010,-73.9269,40.85594,M463
19145,2010,-73.9269,40.85594,M467
19146,2010,-73.9269,40.85594,M468
19147,2010,-73.9346,40.85046,M528
19148,2010,-73.9503,40.81824,M540
19149,2010,-73.9384,40.83812,M552
19151,2010,-73.9189,40.81884,X001
19152,2010,-73.9088,40.81364,X005
19153,2010,-73.9231,40.81649,X018
19154,2010,-73.9061,40.81269,X025
19155,2010,-73.9171,40.82151,X029
19156,2010,-73.9177,40.80938,X030
19157,2010,-73.9215,40.82306,X031
19158,2010,-73.9212,40.80639,X043
19159,2010,-73.9229,40.81007,X049
19160,2010,-73.9126,40.80735,X065
19161,2010,-73.9215,40.82306,X151
19162,2010,-73.9262,40.80812,X154
19163,2010,-73.9086,40.81921,X157
19164,2010,-73.9054,40.81487,X161
19165,2010,-73.9121,40.81551,X162
19166,2010,-73.9198,40.80944,X179
19167,2010,-73.9253,40.81366,X203
19168,2010,-73.9209,40.81397,X221
19169,2010,-73.9209,40.81397,X223
19170,2010,-73.9178,40.81008,X224
19171,2010,-73.9134,40.81365,X277
19172,2010,-73.9058,40.81886,X296
19173,2010,-73.9058,40.81886,X298
19174,2010,-73.9118,40.81649,X321
19175,2010,-73.9178,40.81008,X334
19176,2010,-73.9178,40.81008,X343
19177,2010,-73.9198,40.80944,X369
19178,2010,-73.9058,40.81886,X379
19179,2010,-73.9232,40.82308,X385
19180,2010,-73.9302,40.81594,X427
19181,2010,-73.911,40.81831,X473
19182,2010,-73.9277,40.81795,X500
19183,2010,-73.9097,40.81115,X520
19184,2010,-73.911,40.81831,X547
19185,2010,-73.911,40.81831,X548
19186,2010,-73.9253,40.81366,X551
19187,2010,-73.9197,40.81826,X600
19188,2010,-73.9071,40.81059,X655
19189,2010,-73.9302,40.81594,X670
19191,2010,-73.8257,40.83566,X014
19192,2010,-73.8503,40.82932,X036
19193,2010,-73.8869,40.81431,X048
19194,2010,-73.9005,40.81399,X062
19195,2010,-73.8608,40.81675,X069
19196,2010,-73.8297,40.84573,X071
19197,2010,-73.8183,40.82261,X072
19198,2010,-73.8893,40.82283,X075
19199,2010,-73.8768,40.82184,X093
19200,2010,-73.8628,40.8214,X100
19201,2010,-73.8297,40.82741,X101
19202,2010,-73.8683,40.81853,X107
19203,2010,-73.8566,40.82848,X119
19204,2010,-73.8737,40.8254,X123
