,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation
M015,171,194,1653,65,327,361,2506,391,93,15175,65,580,604,1476,27446,1,1,246,669,171,341,988,90,281,5802,318,2139,0.0,21,268,2,23,373,1052,389,0,949,3356,23,M015,308,928,79,9,85,484,13510,67,1.0,29416,292
M019,144,182,1968,567,371,471,962,384,82,8578,65,77,445,226,20942,1,1,169,265,144,335,668,85,202,7461,299,1829,0.0,21,265,2,36,227,633,594,0,764,5470,36,M019,308,552,27,8,69,466,7391,95,1.0,22888,927
M020,108,270,1969,346,75,579,1749,387,89,10051,65,563,315,933,17987,1,1,433,237,108,351,900,88,67,2819,311,1292,0.0,27,266,2,39,176,348,283,0,371,1611,39,M020,308,511,96,10,77,476,8498,83,1.0,19958,695
M034,119,596,1534,495,497,610,2159,392,93,11881,65,533,959,1176,21884,1,1,165,373,119,342,737,91,256,4534,316,1657,0.0,33,267,2,26,216,551,754,0,562,1702,25,M034,308,525,75,11,75,485,9901,162,1.0,23855,424
M063,143,312,2313,135,433,529,1564,389,91,14459,65,88,667,800,28277,1,1,1064,235,143,351,1197,89,224,7753,327,2044,0.0,300,267,2,24,413,1165,574,0,2084,3843,24,M063,308,643,37,14,87,481,12101,69,1.0,30253,743
M064,118,224,2614,557,202,362,1163,389,94,11600,65,193,881,582,23269,1,1,407,218,118,501,1016,89,170,5742,319,2032,0.0,19,266,2,181,246,643,596,0,1175,3014,181,M064,308,715,57,18,100,483,9978,179,1.0,25397,1226
M110,101,183,1319,440,158,285,1264,372,67,9247,65,170,51,754,15250,1,1,373,225,101,475,441,77,85,2182,293,1137,0.0,17,261,2,182,180,465,134,6,57,1551,177,M110,308,162,18,6,64,439,8396,53,0.0,17309,505
M134,99,200,1765,561,534,383,1504,386,87,11050,65,87,396,771,20028,1,1,658,350,99,339,975,87,60,4047,316,1564,0.0,18,266,2,23,310,613,672,0,1078,1529,23,M134,308,291,50,9,91,473,9421,81,1.0,21985,416
M137,171,154,1704,824,851,383,1504,388,91,11519,65,86,657,771,25911,1,1,945,350,171,362,665,89,65,8501,322,2512,0.0,20,266,2,40,490,898,816,0,276,6072,40,M137,308,654,12,10,126,480,9476,95,1.0,27897,666
M140,105,395,1865,533,452,163,589,388,88,10931,65,549,570,50,19223,1,1,434,375,105,346,792,89,206,3873,295,1861,0.0,320,266,2,52,172,593,613,0,743,1541,51,M140,308,596,54,52,86,476,8699,54,1.0,21189,700
M142,141,134,2458,793,28,202,1212,389,92,11164,65,518,164,755,21201,1,1,647,255,141,355,1196,89,59,4430,319,1796,0.0,337,266,2,36,260,515,199,3,1055,2789,34,M142,308,380,44,9,98,481,9293,64,1.0,23181,888
M184,90,140,1277,529,68,278,999,382,74,7697,65,54,225,443,12413,1,1,199,278,90,288,653,84,217,994,260,1356,0.0,20,264,2,28,135,386,442,0,47,378,28,M184,308,363,23,7,72,456,6621,118,1.0,14302,251
M188,126,489,1611,469,123,401,1388,388,87,11444,65,97,662,710,19305,1,1,497,276,126,329,998,89,232,3087,301,1649,0.0,326,266,2,29,224,558,181,0,353,1235,29,M188,308,415,41,8,199,475,9858,211,1.0,21254,240
M292,112,445,955,875,62,357,1373,392,92,10394,65,542,459,728,17405,1,1,179,283,112,309,230,93,304,2358,285,2213,6.0,22,266,2,24,201,542,270,0,72,1119,24,M292,308,685,92,11,100,485,8923,61,1.0,19344,352
M301,117,130,1764,65,748,471,962,391,91,12567,65,636,725,226,21114,1,497,5,265,117,375,664,90,44,3785,352,1919,0.0,22,267,2,23,647,1260,404,0,80,957,23,M301,308,466,31,13,114,482,11353,70,1.0,23116,727
M315,100,215,1655,718,26,170,493,374,71,10211,65,114,893,47,18559,1,1,639,276,100,314,296,79,258,3941,286,2160,0.0,19,261,2,28,325,883,427,0,686,1796,27,M315,308,480,34,9,70,445,8650,68,0.0,20462,986
M332,202,512,1988,796,2291,356,1363,394,96,13128,65,717,1246,725,28560,1,863,429,282,202,358,732,92,148,8397,338,3482,0.0,26,268,2,19,663,1799,937,0,83,2739,19,M332,308,709,251,21,157,490,10512,105,1.0,30552,882
M345,111,224,1712,706,25,356,1363,390,89,10392,65,592,693,725,20849,1,1,453,282,111,346,553,90,98,4104,325,3167,0.0,29,266,2,21,308,848,354,0,866,1988,21,M345,308,1066,57,453,94,479,8770,34,1.0,22818,786
M361,98,171,1115,65,25,170,493,373,68,10542,65,71,366,47,17015,1,1,448,276,98,354,421,78,137,3353,313,1414,0.0,30,262,2,41,331,877,194,0,314,2145,41,M361,308,362,29,6,104,441,9598,34,0.0,18954,320
M363,135,120,1835,65,26,529,1564,374,71,9411,65,129,366,800,18437,1,1,229,235,135,309,329,79,56,4288,286,1204,0.0,204,261,2,23,226,642,251,0,68,3480,23,M363,308,417,32,11,70,444,8421,86,0.0,20335,1133
M364,120,149,993,65,204,362,1162,372,67,8525,65,142,435,582,16028,1,1,187,218,120,593,369,77,129,3524,277,1702,0.0,21,261,2,316,220,611,975,0,59,2457,316,M364,308,758,51,7,262,439,6940,78,0.0,18204,251
M378,109,395,1684,716,487,248,1229,387,86,9582,65,119,443,657,18416,1,1,151,324,109,307,436,88,618,3877,283,1935,0.0,39,265,2,23,218,775,642,0,73,2260,23,M378,308,298,136,13,133,474,7792,83,1.0,20340,875
M448,120,419,838,514,71,446,1495,390,88,9983,65,592,696,869,17006,1,1,162,174,120,368,285,91,92,2742,340,1828,6.0,24,266,2,28,222,561,489,0,188,1145,28,M448,308,525,12,9,219,479,8544,65,1.0,18997,180
M450,121,382,1181,331,549,218,611,388,87,9358,194,532,817,83,16602,1,142,23,304,121,479,465,90,41,4180,346,1152,6.0,26,265,2,133,326,403,601,0,321,1643,133,M450,308,226,17,11,181,475,8046,70,1.0,18701,214
M458,81,213,574,759,432,167,440,385,78,7969,65,119,633,55,13658,1,1,72,213,81,307,61,87,168,1765,285,2829,6.0,21,264,2,22,354,962,268,0,50,82,22,M458,308,967,135,4,137,463,7126,57,1.0,15573,140
M509,152,858,1736,895,492,250,1240,390,89,9775,254,537,747,660,19841,1,1,14,325,152,347,596,91,86,4923,311,2015,6.0,328,265,2,36,348,610,1007,0,331,2146,36,M509,308,354,290,11,145,479,7360,151,1.0,21812,577
M515,165,597,1139,676,346,426,1417,384,80,10036,240,795,957,660,18110,1,123,179,325,165,315,428,86,501,2351,290,3002,6.0,231,265,2,25,268,450,561,0,39,20,25,M515,308,1501,239,11,364,464,7385,144,1.0,20033,162
M539,88,293,1080,479,57,217,790,370,55,6220,65,155,270,385,10370,1,1,8,183,88,194,235,76,77,1141,168,1050,6.0,84,260,2,27,49,164,76,0,143,328,26,M539,308,278,9,64,66,425,5718,89,0.0,12134,472
M650,183,242,1262,902,763,166,440,383,74,8389,506,92,689,55,15828,1,1,1,213,183,315,240,85,295,2198,282,3356,6.0,21,264,2,33,393,1089,135,0,47,63,33,M650,308,975,224,3,387,456,7512,106,1.0,17743,207
M696,110,242,747,646,29,211,1155,370,54,7093,65,106,470,739,11829,1,1,2,199,110,339,194,76,146,1214,287,1510,6.0,188,260,2,52,234,361,106,0,38,200,52,M696,308,312,49,2,189,424,6397,96,0.0,13736,179
M839,122,244,914,466,611,362,1162,381,78,8560,65,198,400,582,14915,1,1,145,218,122,365,357,84,57,2719,339,1438,0.0,21,263,2,26,212,552,1204,0,68,1183,26,M839,308,305,21,9,105,459,6826,87,1.0,16884,184
M001,108,83,1373,369,278,300,1315,385,87,9915,65,54,585,795,17281,2,1,305,220,108,365,727,86,36,2866,319,1706,0.0,21,265,2,46,151,422,283,0,57,1711,46,M001,308,837,27,8,70,472,9098,87,1.0,19262,272
M002,120,102,1587,264,30,324,1102,388,91,10087,65,77,240,496,15990,2,1,261,282,120,355,961,88,73,2110,317,984,0.0,193,266,2,38,171,269,386,0,394,1173,38,M002,308,380,26,6,65,479,8999,71,1.0,17968,253
M003,133,62,1243,267,29,251,935,371,66,7340,65,105,277,536,13418,2,1,377,148,133,419,201,77,103,2792,312,977,0.0,165,260,2,107,95,280,236,0,425,1903,106,M003,308,344,13,7,78,438,6253,84,0.0,15419,668
M006,122,23,1003,475,78,477,1580,372,67,7794,65,456,295,838,13832,2,1,74,264,122,359,293,77,56,2282,324,1052,0.0,159,261,2,36,114,277,548,0,588,1184,35,M006,308,221,30,8,70,438,6378,92,0.0,15775,336
M011,138,72,1427,336,216,380,1878,376,72,8466,65,57,288,1122,15852,2,1,172,377,138,348,425,80,89,2706,313,1238,0.0,21,262,2,35,128,310,544,0,504,1497,34,M011,308,495,17,7,89,449,7457,107,1.0,17793,629
M033,133,66,1875,399,283,402,1445,381,77,8793,65,55,111,781,16663,2,1,235,263,133,327,765,83,150,3127,300,1289,0.0,20,264,2,27,184,485,233,0,848,1635,26,M033,308,247,17,33,125,458,7972,109,1.0,18592,737
M040,132,48,1024,332,25,231,892,371,67,7622,65,109,321,411,13924,2,1,99,251,132,346,209,77,155,2964,323,1288,0.0,21,260,2,23,137,359,203,0,669,1764,23,M040,308,496,18,9,92,438,6921,94,0.0,15852,443
M041,128,46,730,269,25,431,1487,372,68,7174,65,42,305,870,13547,2,1,34,186,128,334,217,78,91,2919,310,1109,0.0,156,261,2,24,129,283,268,0,501,1911,24,M041,308,473,16,8,77,440,6460,104,0.0,15465,140
M042,110,142,1329,278,84,269,1071,386,87,9717,65,98,245,607,15292,2,1,333,195,110,329,906,87,59,1837,306,1228,0.0,181,265,2,23,227,299,511,0,415,723,23,M042,308,530,79,7,113,473,8347,106,1.0,17239,50
M047,172,205,1620,1396,268,963,3159,389,87,13027,65,212,1274,1181,28960,2,1,11,1009,172,365,318,90,715,7127,334,3856,6.0,667,265,2,31,450,1289,1193,0,81,4847,31,M047,308,1046,90,21,104,476,10041,95,1.0,30946,929
M051,114,136,3690,662,333,842,5849,387,90,10084,65,85,217,936,25512,2,1,211,400,114,385,743,88,68,3679,319,2097,3671.0,39,266,2,66,408,751,911,0,800,1785,66,M051,308,346,18,9,330,477,8678,72,1.0,27519,2574
M059,120,93,1370,364,25,160,662,371,67,8226,65,268,373,49,14516,2,1,13,453,120,332,306,77,121,2870,306,1269,0.0,21,261,2,26,148,413,553,0,419,1811,26,M059,308,322,41,10,160,438,7152,55,0.0,16431,691
M077,125,22,2203,531,25,375,1202,370,65,7381,65,774,172,616,15874,2,1,192,210,125,345,183,77,113,3038,320,1926,0.0,21,260,2,25,241,581,205,0,56,2522,25,M077,308,345,36,387,82,436,5939,98,0.0,17799,1648
M089,160,22,1805,665,25,182,1165,371,66,7570,65,44,308,725,15538,2,1,134,258,160,353,287,77,61,3342,321,1497,0.0,46,261,2,32,159,432,146,0,347,2480,32,M089,308,325,15,10,65,437,7043,78,0.0,17472,1145
M104,102,148,1139,534,26,239,978,382,77,7246,65,67,404,513,12898,2,1,36,226,102,452,297,84,335,2059,330,1373,0.0,21,264,2,123,100,243,256,0,266,1114,122,M104,308,348,52,158,91,459,6370,106,1.0,14954,469
M111,133,95,1343,375,156,409,1625,386,86,10309,65,510,690,1011,19174,2,144,151,205,133,337,596,88,96,4091,313,1672,0.0,185,265,2,23,241,405,481,0,578,2187,23,M111,308,481,127,324,88,473,8724,33,1.0,21128,374
M114,101,222,610,460,26,156,695,371,62,7964,65,48,299,47,12411,2,1,8,492,101,349,96,77,92,1422,326,1618,0.0,21,261,2,24,163,511,114,0,57,655,23,M114,308,544,35,14,89,433,7595,49,0.0,14338,141
M116,129,84,1269,274,209,540,1270,372,67,7741,65,239,223,560,14060,2,1,62,171,129,379,279,77,76,2543,304,1108,0.0,21,261,2,75,117,277,597,0,512,1397,75,M116,308,473,83,6,78,438,6588,73,0.0,16022,617
M124,102,81,1502,399,126,239,1132,381,79,8386,65,98,234,594,14190,2,91,127,299,102,517,813,83,112,2012,307,1056,0.0,21,264,2,210,90,260,387,0,49,1341,210,M124,308,319,72,5,73,460,7491,76,1.0,16311,316
M126,103,140,1462,493,232,177,1102,383,79,9178,65,62,519,596,15744,2,128,266,328,103,292,827,85,25,2467,266,1431,0.0,157,265,2,26,150,318,182,0,461,837,26,M126,308,410,12,127,83,463,8408,64,1.0,17643,263
M130,111,145,1554,416,26,309,1000,382,81,7428,65,38,214,460,13052,2,1,127,231,111,387,1029,84,74,1855,320,1104,0.0,21,264,2,67,84,243,240,0,441,945,66,M130,308,371,52,6,67,463,6820,54,1.0,15046,152
M131,143,203,1529,355,312,366,1384,393,96,11373,65,542,751,708,20340,2,179,241,310,143,599,793,92,118,4334,326,1578,0.0,23,267,2,273,155,405,596,0,687,2048,273,M131,308,500,214,246,72,488,9597,38,1.0,22572,363
M150,114,30,1329,65,25,400,4385,371,65,8533,71,425,616,450,19588,2,1,289,415,114,342,550,77,49,2574,319,2653,3121.0,26,261,2,23,433,1449,1044,0,55,1413,23,M150,308,1054,11,9,77,437,6608,79,0.0,21512,401
M151,104,54,1699,615,116,2467,5290,372,67,8256,65,230,435,2340,19848,2,1,214,483,104,347,405,77,370,2730,324,1769,0.0,19,261,2,22,245,718,186,0,59,1820,22,M151,308,365,19,7,64,440,7167,48,0.0,21779,920
M158,121,278,1025,279,84,248,1000,373,69,7471,65,195,237,521,13783,2,1,242,231,121,356,245,78,48,3043,330,1123,0.0,165,261,2,26,98,298,384,0,542,1804,26,M158,308,446,38,8,91,442,6309,88,0.0,15725,406
M167,98,134,875,598,33,250,988,372,64,7222,65,43,362,543,11981,2,1,182,195,98,365,280,78,63,1505,329,1293,0.0,22,261,2,36,76,197,240,0,321,578,36,M167,308,321,57,94,84,436,6538,74,0.0,13926,222
M183,136,41,1061,275,25,239,890,372,68,8290,65,48,307,497,14997,2,1,5,154,136,351,271,77,77,3417,326,1203,0.0,22,261,2,26,128,391,783,3,544,2370,23,M183,308,458,23,8,71,440,7237,94,0.0,16933,416
M198,123,86,1738,679,113,375,1202,383,83,9325,65,63,218,616,17978,2,1,608,210,123,338,644,85,130,4036,312,1555,0.0,15,264,2,26,160,407,480,0,1053,2404,25,M198,308,378,40,12,79,466,7895,91,1.0,19927,721
M212,94,42,1075,65,54,369,1073,371,65,6917,65,41,480,546,13627,2,1,9,158,94,325,338,77,225,3241,302,1227,0.0,384,261,2,23,247,608,90,0,769,1648,23,M212,308,464,17,5,84,436,6094,56,0.0,15532,364
M217,108,61,1246,448,364,198,2332,371,60,7840,65,81,355,1385,16040,2,203,155,749,108,400,551,76,28,2864,303,1650,0.0,21,261,2,98,197,526,460,0,586,1099,97,M217,308,347,32,255,75,431,6997,63,0.0,18016,322
M225,103,223,1671,524,509,242,1384,371,59,8614,298,67,348,685,16359,2,1,510,458,103,275,610,76,155,2448,253,2137,0.0,21,261,2,22,243,720,142,0,50,1075,22,M225,308,815,66,4,73,430,7570,81,0.0,18208,456
M234,118,39,911,264,25,201,1552,371,65,7460,65,42,186,396,13120,2,1,78,346,118,332,158,77,54,2036,302,1042,609.0,311,261,2,30,89,266,539,0,383,1314,29,M234,308,441,13,7,65,436,6333,88,0.0,15033,380
M255,102,349,1015,491,36,231,892,371,61,6786,65,88,398,410,13336,2,1,10,251,102,350,50,77,121,2570,324,1970,0.0,21,261,2,26,298,572,217,0,55,1433,26,M255,308,535,24,287,85,432,6257,46,0.0,15263,592
M260,108,209,1179,685,26,11399,18496,373,68,7865,65,51,533,48,31822,2,1,6,5,108,422,266,79,176,1864,340,2309,7044.0,22,261,2,82,308,802,769,0,69,718,82,M260,308,718,24,12,92,441,6756,59,0.0,33829,540
M267,93,87,3124,65,25,248,1000,371,64,10356,65,52,523,521,20241,2,1,2,231,93,329,309,76,625,2210,306,3459,0.0,24,261,2,23,49,2022,419,0,51,1474,23,M267,308,1292,14,5,76,436,9154,64,0.0,22150,2442
M276,104,32,1157,65,25,191,884,370,64,6900,65,52,247,65,11794,2,1,292,627,104,323,312,76,165,1899,300,850,0.0,192,261,2,23,134,374,146,0,297,1162,23,M276,308,308,26,7,96,434,5967,58,0.0,13696,471
M288,104,486,767,470,26,424,1725,386,81,10003,65,67,896,763,16777,2,1,3,533,104,208,205,88,575,2333,186,1844,6.0,21,265,2,23,161,552,132,0,63,701,22,M288,308,641,72,8,173,467,9059,71,1.0,18597,189
M289,100,66,1256,610,36,182,1165,372,64,7459,65,45,509,725,14554,2,1,190,258,100,362,275,78,172,2611,331,1962,0.0,61,261,2,31,283,763,635,0,504,1213,31,M289,308,512,11,8,69,436,6269,73,0.0,16496,608
M290,122,22,681,316,25,263,703,371,66,7643,65,60,265,312,12620,2,1,3,128,122,334,290,77,48,2390,304,1081,0.0,21,261,2,30,126,338,300,0,637,1314,30,M290,308,333,64,6,89,437,7060,84,0.0,14536,18
M294,166,376,645,483,530,498,1600,385,80,9956,84,563,748,675,16640,2,1,5,422,166,304,87,87,192,3018,269,1255,6.0,85,264,2,34,87,635,389,0,684,592,34,M294,308,29,55,10,98,464,8600,65,1.0,18553,166
M296,103,386,772,509,258,398,1699,385,80,8284,65,227,615,763,13778,2,1,5,533,103,208,198,87,716,1691,186,1228,6.0,21,264,2,23,161,552,119,0,61,210,23,M296,308,30,59,8,129,465,7038,96,1.0,15596,201
M298,114,316,688,504,42,367,1394,373,62,7647,65,94,631,710,13093,2,1,5,311,114,345,81,79,158,1457,307,1793,6.0,21,261,2,39,166,573,220,0,56,245,38,M298,308,589,128,6,120,435,6935,83,0.0,15017,234
M300,145,342,858,475,469,398,1700,386,82,8054,65,310,666,763,15155,2,1,15,533,145,429,222,88,297,2523,367,1875,6.0,21,264,2,61,175,532,218,1,66,804,60,M300,308,772,55,9,87,468,7066,71,1.0,17196,262
M303,130,165,876,797,340,398,1700,388,85,9251,65,349,802,763,16300,2,1,8,533,130,426,329,89,294,2136,387,2208,6.0,228,265,2,39,167,446,306,0,68,593,39,M303,308,614,202,237,113,472,7760,101,1.0,18343,174
M305,142,425,636,523,814,498,1600,385,80,8531,65,114,471,675,14863,2,1,138,422,142,428,101,87,405,2467,363,1487,6.0,77,264,2,65,239,724,183,0,62,455,65,M305,308,127,80,8,105,465,7435,97,1.0,16900,162
M308,161,611,735,593,28,493,1595,385,82,8387,65,84,758,675,15914,2,251,149,422,161,354,155,88,127,3043,322,1994,6.0,150,264,2,32,568,702,114,0,473,353,31,M308,308,443,94,10,247,467,7562,103,1.0,17880,207
M312,96,229,819,338,25,221,845,371,61,6760,65,50,441,436,11545,2,1,13,188,96,351,111,76,86,1605,303,1421,0.0,68,260,2,48,145,375,90,0,54,711,48,M312,308,404,29,194,110,431,6346,74,0.0,13472,335
M313,141,303,1095,297,1040,761,1632,374,63,8510,462,211,979,665,16201,2,1,2,200,141,296,159,79,186,2816,259,2007,6.0,21,261,2,37,328,930,436,0,56,110,37,M313,308,640,113,6,134,436,7453,85,0.0,18078,165
M316,115,405,788,941,744,157,8896,386,81,7138,65,126,584,50,21205,2,1,3,315,115,382,201,88,97,2084,360,2184,8374.0,21,264,2,22,162,619,177,0,59,129,22,M316,308,496,115,7,122,466,6509,88,1.0,23198,213
M347,124,366,7517,483,254,961,3148,393,94,25215,65,370,1258,1179,45619,2,1,2114,1008,124,377,730,91,208,6507,352,3108,0.0,504,268,2,24,304,960,825,0,1038,3286,24,M347,308,816,190,742,108,487,20907,96,1.0,47627,6414
M374,109,215,835,526,140,290,1246,382,74,7637,104,64,442,549,12924,2,1,3,402,109,200,214,85,136,1420,177,1677,6.0,21,263,2,22,155,508,194,0,55,413,22,M374,308,554,61,5,84,456,7064,93,1.0,14724,209
M376,165,126,600,1110,64,305,1096,373,60,7839,65,45,364,590,12933,2,1,3,195,165,305,23,78,71,990,264,2243,6.0,20,261,2,42,157,529,212,0,52,226,41,M376,308,502,79,8,94,433,7327,79,0.0,14816,204
M392,115,350,900,566,31,762,1633,384,77,8400,65,86,609,665,14654,2,1,7,200,115,357,236,86,175,1613,332,1993,6.0,19,264,2,25,251,670,699,0,58,315,24,M392,308,645,51,6,105,460,7284,76,1.0,16616,291
M393,110,422,883,643,579,512,1281,384,79,8959,65,403,340,568,15453,2,1,7,195,110,314,288,87,657,2095,281,2124,6.0,19,264,2,33,43,729,246,0,67,643,33,M393,308,461,30,9,282,463,7450,144,1.0,17375,222
M394,112,650,989,637,275,367,1394,389,87,9889,65,443,585,710,17059,2,1,1,311,112,331,465,89,1015,2173,304,2502,6.0,86,267,2,27,606,904,1083,0,37,17,27,M394,308,762,169,1,198,476,6681,409,1.0,19011,151
M397,86,18,795,65,29,157,2864,369,60,7287,65,49,560,223,14717,2,1,395,1975,86,333,265,75,97,2015,305,1670,509.0,18,261,2,28,195,793,387,0,603,609,27,M397,308,733,4,2,78,428,6178,157,0.0,16623,157
M399,114,350,1111,407,268,290,1246,388,84,9285,65,91,603,549,16370,2,1,74,402,114,425,316,89,470,2623,396,1991,6.0,15,265,2,29,212,904,780,0,61,1128,28,M399,308,379,12,8,293,472,7723,117,1.0,18412,421
M400,101,196,775,798,115,300,3182,373,63,5899,65,41,665,536,13387,2,61,3,328,101,222,211,79,105,1761,187,1670,2016.0,98,260,75,35,73,198,120,0,192,458,35,M400,308,560,61,7,108,436,5302,94,0.0,15190,191
M407,77,377,542,760,25,269,855,371,59,6103,65,36,55,349,10248,2,1,1,231,77,466,10,77,35,740,252,1931,6.0,21,260,2,214,138,474,115,0,50,94,214,M407,308,555,43,68,75,430,5761,88,0.0,12289,159
M408,109,259,585,689,155,370,1083,370,56,7764,65,1964,270,549,12170,2,1,1,159,109,298,60,76,76,981,276,1648,6.0,265,260,2,22,171,471,77,0,89,38,22,M408,308,409,12,2,77,425,5307,60,0.0,14037,152
M411,85,184,727,447,26,464,6201,370,55,5961,79,34,685,861,15546,2,1,1,271,85,335,180,76,89,1250,309,1320,4606.0,22,260,41,26,276,544,97,0,41,38,26,M411,308,261,18,2,66,426,5582,76,0.0,17451,159
M412,97,292,651,598,126,222,855,373,62,6396,65,45,388,439,13089,2,1,16,189,97,354,52,79,106,2351,307,2739,6.0,72,260,2,47,254,412,110,0,394,897,47,M412,308,410,22,974,344,435,5882,141,0.0,15023,226
M413,120,227,666,325,172,301,1244,373,62,7567,65,56,628,730,13210,2,1,74,208,120,349,119,79,74,2699,326,915,6.0,22,261,2,23,227,353,293,0,329,1116,23,M413,308,144,13,9,85,436,6946,88,0.0,15140,174
M414,92,133,720,444,25,222,855,372,60,7165,65,43,754,439,12239,2,1,2,189,92,328,171,78,40,1524,299,1883,6.0,150,261,2,29,231,559,108,0,50,329,29,M414,308,480,7,262,137,432,6686,127,0.0,14144,176
M416,88,165,668,65,26,233,6934,370,54,7240,65,55,536,812,17445,2,1,5,357,88,250,144,76,132,1582,164,933,5532.0,23,260,214,86,158,457,80,1,38,660,85,M416,308,327,45,6,78,423,6594,91,0.0,19263,151
M418,92,107,692,314,195,176,6031,372,59,6923,65,66,862,535,16416,2,1,2,6,92,285,158,78,42,1806,261,871,5313.0,22,261,2,24,135,386,408,0,50,456,23,M418,308,105,27,5,61,431,6276,78,0.0,18276,161
M419,107,176,702,884,300,761,1632,388,85,8977,65,576,491,665,15497,2,199,3,200,107,545,157,90,82,1907,270,2170,6.0,21,265,2,275,153,519,375,0,64,524,275,M419,308,616,105,66,86,474,7732,81,1.0,17660,172
M420,97,364,798,742,95,319,905,383,76,6766,65,149,506,349,11364,2,1,32,231,97,371,253,86,209,1420,288,1377,6.0,89,264,121,83,58,149,134,0,240,157,83,M420,308,407,69,5,75,459,5850,113,1.0,13338,172
M422,182,391,1025,65,25,760,1622,374,68,8395,65,115,762,663,16688,2,1,25,199,182,306,282,79,382,3171,282,2293,0.0,15,261,2,23,15,1008,647,0,70,1907,23,M422,308,1120,13,10,90,442,7155,39,0.0,18580,370
M425,121,433,808,654,220,329,6405,387,84,7368,65,55,688,92,19071,2,1,30,408,121,491,194,89,64,2355,360,2014,5577.0,22,265,2,131,137,364,194,0,148,728,131,M425,308,655,75,184,157,471,6872,53,1.0,21177,241
M427,90,446,1093,1045,26,423,1889,387,81,10666,65,311,773,894,18507,2,1,377,567,90,198,515,88,399,1377,176,3393,6.0,18,266,2,22,18,1297,299,0,45,68,22,M427,308,905,16,52,94,468,8969,274,1.0,20317,205
M429,114,265,1153,1344,873,276,7334,396,97,11713,285,69,595,1180,26485,2,262,226,343,114,356,301,95,85,3194,316,2977,5535.0,396,267,2,40,445,737,323,0,84,670,40,M429,308,346,75,417,132,493,10439,98,1.0,28479,260
M432,223,2335,898,972,882,423,1889,395,94,10501,65,87,1749,894,22306,2,1,6,567,223,433,319,94,453,5616,408,3179,6.0,19,267,2,25,151,1032,555,0,75,424,25,M432,308,940,26,16,218,489,9155,196,1.0,24372,206
M437,101,326,794,761,1181,762,1633,384,77,7827,65,54,492,665,15620,2,1,286,200,101,365,117,86,192,2479,334,2787,6.0,18,264,2,31,23,975,455,0,59,396,30,M437,308,869,56,7,175,461,6712,52,1.0,17591,304
M438,86,259,993,941,597,432,1388,387,80,8781,65,93,726,549,16604,2,1,1,402,86,401,430,87,1144,2121,378,3236,6.0,18,266,2,23,403,1218,335,0,37,98,23,M438,308,951,35,1,125,467,7029,122,1.0,18616,190
M439,104,366,780,497,145,168,7495,383,74,7742,65,202,367,1176,18883,2,1,2,325,104,282,231,85,129,1223,257,1540,5827.0,276,264,2,25,183,622,140,0,49,111,25,M439,308,345,8,5,70,456,6894,89,1.0,20765,176
M440,128,1152,886,1007,352,1085,1956,404,109,13721,65,676,717,665,27752,2,397,5,200,128,478,223,100,692,6973,393,4087,6.0,29,270,2,85,553,1053,757,1,1586,2216,84,M440,308,1916,363,6,105,513,11141,55,1.0,29887,291
M442,95,164,1011,65,26,156,6033,369,55,7495,65,530,55,47,17986,2,1,1,159,95,268,463,74,171,840,247,2511,5671.0,21,261,2,22,534,1418,98,0,39,22,22,M442,308,958,21,1,68,423,6530,122,0.0,19822,176
M449,131,383,649,134,26,243,1394,386,81,9498,65,502,346,687,14840,2,1,5,459,131,717,113,88,186,2041,268,1126,6.0,21,264,2,449,365,503,298,0,365,555,449,M449,308,403,103,9,76,467,8329,52,1.0,17168,163
M459,84,360,918,628,27,243,1394,384,79,8762,65,536,506,687,14815,2,1,1,459,84,410,379,86,200,1137,382,2521,6.0,21,265,2,27,189,751,263,0,38,17,27,M459,308,728,49,310,105,463,7633,56,1.0,16832,166
M460,127,280,827,1538,535,303,1253,387,85,10997,139,521,700,545,19114,2,1,4,399,127,369,199,89,222,2969,289,2941,6.0,22,265,2,80,92,238,1221,0,576,787,79,M460,308,833,620,249,82,472,8208,177,1.0,21099,181
M475,86,214,893,629,41,271,1322,369,54,6892,103,34,640,659,11519,2,26,2,387,86,254,300,76,82,1084,164,1243,6.0,99,260,130,89,36,93,71,0,38,89,89,M475,308,431,62,1,88,423,6262,149,0.0,13341,182
