,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation
X319,411,786,746,44,1425,546,4467,387,83,10154,65,970,44,1535,22125,10,0,2,412,411,333,243,89,26,2970,311,3378,1975.0,13,265,2,22,555,1088,879,0,31,129,22,X319,307,1775,202,7,464,470,7972,88,1.0,24072,131
X331,112,460,2024,876,25,383,1485,391,92,9488,65,586,753,624,19826,10,0,28,478,112,410,763,91,484,3922,374,2795,0.0,19,266,2,36,189,578,654,0,400,2095,36,X331,307,892,161,321,129,483,7487,67,1.0,21863,888
X340,96,266,1444,314,24,295,679,385,86,9367,65,551,266,81,15143,10,0,487,302,96,296,631,86,184,2346,257,1211,0.0,89,265,2,38,144,360,564,0,28,1617,38,X340,307,301,43,162,74,471,7388,61,1.0,17054,440
X342,93,525,871,886,524,303,1038,384,80,8491,65,507,713,569,14978,10,0,108,160,93,387,355,86,190,2217,247,2267,6.0,18,264,24,139,125,387,413,0,228,102,139,X342,307,628,101,188,178,463,7039,91,1.0,16972,144
X344,107,123,2165,608,22,219,919,370,63,7280,65,145,44,451,12997,10,0,398,249,107,331,448,76,173,838,314,1688,0.0,13,261,2,17,193,779,106,0,21,434,16,X344,307,227,3,4,69,434,6352,90,0.0,14906,1344
X360,104,70,1718,360,270,225,617,386,87,9628,65,512,117,50,16144,10,0,542,343,104,273,614,87,130,2493,257,1583,0.0,230,266,2,17,150,445,743,0,223,1662,17,X360,307,699,24,7,73,474,7383,64,1.0,18035,732
X363,122,377,1645,531,459,223,638,382,80,9254,65,94,454,57,17423,10,0,395,358,122,293,520,84,333,3472,276,2292,0.0,16,264,2,17,237,708,703,0,1072,874,17,X363,307,689,55,11,354,462,7584,72,1.0,19323,752
X368,108,271,1138,621,158,374,1428,387,82,7927,65,515,648,621,14763,10,57,46,428,108,262,375,88,159,2196,241,1967,6.0,115,265,93,21,90,236,342,0,216,756,21,X368,307,640,26,323,146,468,6545,86,1.0,16638,390
X374,111,323,938,523,44,414,1317,388,81,7612,65,314,528,620,13399,10,0,2,277,111,330,338,89,127,1345,311,2077,6.0,19,265,2,20,194,735,248,0,24,233,19,X374,307,512,67,5,302,469,6725,107,1.0,15343,228
X382,108,458,2070,44,29,280,1077,388,90,8922,65,176,269,492,15837,10,0,466,304,108,309,1024,88,497,2127,273,1533,0.0,120,266,2,36,201,513,680,0,748,421,36,X382,307,861,11,7,108,478,6917,54,1.0,17768,673
