,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Debt_Service,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Other_SystemWide_Obligations_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Retiree_Health_and_Welfare,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Special_Commissioner_for_Investigation,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,SystemWide_Obligations,Teachers,Text_Books,Title_1,Total,Transportation
X132,2,231,187,3166,942,31,216,1615,374,90,34,12167,83,507,784,867,899,25421,09,,150,532,231,338,741,75,280,5569,258,2673,,10,264,2,79,1339,146,368,1078,1,877,3545,432,76,X132,307,953,8,60,314,95,464,1339,9845,235,Yes,27562,2036
X145,2,181,225,2636,424,225,320,1250,373,84,34,11174,83,511,446,574,899,20580,09,164,492,355,181,291,491,74,535,3308,250,2031,,99,265,2,40,1339,140,495,1165,1,686,1422,432,38,X145,307,682,8,146,335,95,457,1339,8167,57,Yes,22667,1755
X163,2,273,227,2011,590,93,363,1231,371,84,34,9171,83,151,382,569,899,16705,09,,464,299,273,284,709,72,184,2320,257,1699,,10,264,2,27,1339,168,314,630,1,511,939,432,24,X163,307,509,8,7,8,279,455,1339,7614,109,Yes,18782,913
X166,2,519,413,1268,1016,1176,571,1519,385,103,35,13964,83,702,981,612,899,28973,09,,2,336,519,269,673,80,156,7100,248,4603,,19,270,2,20,1339,407,1231,1482,1,1953,2169,432,18,X166,307,2246,8,137,9,101,488,1339,11335,129,Yes,31069,206
X170,2,233,464,1997,46,141,1166,3288,370,83,34,11344,83,229,33,1550,899,21387,09,,467,571,233,244,687,72,332,2728,237,1798,,10,264,2,7,1339,644,899,1403,1,29,1417,432,4,X170,307,743,8,5,8,103,453,1339,8832,63,Yes,23423,921
X199,2,241,293,1885,682,82,293,1438,371,84,34,8962,83,161,171,779,899,16450,09,,503,366,241,265,650,72,150,1901,236,2023,,151,264,2,30,1339,116,294,571,1,261,978,432,27,X199,374,545,8,17,150,353,454,1339,7264,144,Yes,18508,779
X204,2,141,142,1872,422,245,211,789,369,81,34,9428,83,251,241,575,899,15699,09,,368,3,141,245,784,71,577,1838,238,1631,,285,263,2,7,1339,205,542,810,1,32,972,432,4,X204,307,575,8,11,9,84,450,1339,7050,74,Yes,17734,698
X215,2,111,272,1486,391,130,216,975,369,75,34,8431,83,311,542,498,899,14245,09,,146,261,111,217,521,70,330,1410,210,1832,,10,264,2,7,1339,47,502,365,1,18,400,432,4,X215,307,593,8,95,245,101,444,1339,7113,59,Yes,16244,575
X218,2,157,181,2217,603,168,371,1424,372,79,34,8621,83,235,304,795,899,16244,09,,74,257,157,302,932,72,165,2015,293,1810,,139,266,2,10,1339,84,281,868,1,242,1035,432,7,X218,307,644,8,62,162,120,451,1339,6909,168,Yes,18336,895
X219,2,194,102,1402,1203,944,216,975,376,87,34,10475,83,480,675,498,899,19469,09,282,342,261,194,261,588,76,259,3918,243,2506,,263,266,2,18,1339,196,476,677,1,646,1073,432,15,X219,307,444,8,126,278,104,463,1339,8264,60,Yes,21531,425
X227,2,221,587,939,765,964,292,1374,374,83,34,10089,83,459,381,665,899,17706,09,,37,415,221,401,365,75,519,2394,343,2688,1,124,264,2,58,1339,185,595,540,1,41,237,432,55,X227,307,720,8,77,12,595,456,1339,8198,134,Yes,19902,185
X229,2,290,1639,2724,1458,352,511,2313,379,94,35,18135,83,912,1659,1200,899,36840,09,,430,602,290,624,533,78,440,7873,317,5505,,552,267,2,307,1339,307,912,495,1,1358,2559,432,304,X229,307,1469,8,167,1050,617,474,1339,15077,60,Yes,39276,1802
X230,2,306,157,2362,696,162,511,2219,372,86,34,11059,83,456,226,1106,899,19854,09,,130,602,306,434,909,73,205,1866,252,2042,,240,265,2,182,1339,186,419,995,1,36,1099,432,179,X230,410,709,8,149,9,210,459,1339,8670,211,Yes,22085,961
X231,2,75,153,1098,451,447,179,614,371,77,34,7579,83,140,305,430,899,13242,09,,2,3,75,311,505,73,60,1569,296,2307,1,230,263,2,15,1339,138,456,152,1,40,485,432,12,X231,307,1234,8,97,10,155,448,1339,6831,65,Yes,15340,204
X232,2,172,525,1295,1187,318,307,1340,373,83,34,9376,83,615,904,657,899,18420,09,,145,376,172,467,546,74,565,3479,234,2758,,92,265,2,233,1339,152,529,560,1,369,1211,432,230,X232,307,707,8,131,227,108,456,1339,7208,58,Yes,20683,360
X236,2,294,195,3905,456,171,846,2381,373,88,34,12754,83,258,336,1117,899,25624,09,,661,418,294,302,720,74,401,4621,270,1668,,321,264,2,32,1339,202,559,484,1,49,3667,432,29,X236,307,551,8,19,13,89,461,1339,10544,64,Yes,27726,2796
X239,2,81,288,1028,250,544,294,1376,373,82,34,9214,83,164,427,665,899,16391,09,,98,415,81,401,362,76,143,2151,388,2540,1,76,263,2,14,1339,349,799,730,1,57,485,432,11,X239,307,1321,8,39,15,155,455,1339,7864,98,Yes,18586,277
X241,2,123,505,1287,825,121,344,1657,372,79,34,7726,83,167,393,472,899,14624,09,,2,143,123,379,458,73,157,1863,363,1968,699,59,264,2,16,1339,247,391,222,1,249,347,432,13,X241,307,389,8,78,10,354,451,1339,6946,92,Yes,16792,440
X250,2,80,273,1044,1016,739,265,1010,371,77,34,6831,83,173,774,532,899,13944,09,,3,211,80,526,456,73,603,2239,244,2740,1,10,263,2,283,1339,223,628,817,1,103,127,432,280,X250,307,560,8,171,341,195,448,1339,4989,64,Yes,16256,199
X252,2,136,282,816,944,31,344,1689,369,74,34,6991,83,124,670,504,899,13161,09,,2,143,136,296,235,72,62,1318,289,2210,699,97,263,2,7,1339,204,631,832,1,30,101,432,4,X252,307,303,8,600,8,324,444,1339,5155,116,Yes,15240,192
X260,2,127,423,1096,619,30,265,1010,370,75,34,7471,83,142,511,532,899,13482,09,,2,211,127,260,454,72,52,1413,253,2365,1,10,264,2,7,1339,309,534,509,1,48,91,432,4,X260,307,791,8,477,229,191,445,1339,6043,235,Yes,15525,253
X263,2,80,306,903,844,761,344,1657,373,80,34,7347,104,147,819,472,899,14739,09,,2,143,80,354,320,74,129,2419,331,2331,699,96,264,2,23,1339,151,621,929,1,33,350,432,20,X263,307,503,8,78,57,305,452,1339,5874,90,Yes,16884,172
X276,2,129,287,789,608,35,389,1928,373,80,34,8466,83,180,974,1082,899,15990,09,,9,457,129,297,242,74,216,2231,290,2446,1,4,264,2,7,1339,298,835,323,1,38,599,432,4,X276,307,840,8,39,10,153,453,1339,7560,133,Yes,18079,157
X297,2,140,1270,1267,859,107,330,1385,373,81,34,9295,83,204,822,733,899,17783,09,,8,321,140,281,559,75,173,3107,274,2589,1,5,264,2,7,1339,363,526,415,1,66,480,432,4,X297,307,818,8,96,255,131,454,1339,8292,99,Yes,19857,319
X303,2,112,376,982,578,288,307,1340,372,81,34,7870,83,161,400,657,899,14998,09,,180,376,112,270,464,73,196,2314,262,2380,,125,265,2,8,1339,270,683,857,1,54,927,432,5,X303,307,542,8,54,91,485,452,1339,6204,92,Yes,17058,128
X313,2,146,188,2159,756,155,304,1182,372,80,34,9408,83,842,574,564,899,18041,09,,352,315,146,252,757,72,394,2552,244,2593,,100,265,2,8,1339,163,524,391,1,582,890,432,5,X313,307,869,8,154,218,225,452,1339,7048,124,Yes,20083,1012
X323,2,121,388,1176,696,590,344,1208,370,77,34,8676,83,175,336,533,899,15161,09,146,111,331,121,396,367,71,209,1889,330,2092,,4,264,2,66,1339,152,400,584,1,29,249,432,63,X323,307,428,8,85,418,151,447,1339,7414,91,Yes,17343,420
X324,2,20,433,1339,812,24,571,1522,371,77,34,7021,83,323,685,613,899,14103,09,,194,336,20,282,474,73,194,1645,258,2556,1,8,264,2,24,1339,169,677,503,1,38,297,432,21,X324,307,550,8,7,255,261,448,1339,5587,203,Yes,16171,475
X325,2,165,464,1475,779,28,320,1245,370,78,34,11506,83,576,749,569,899,18753,09,,273,355,165,329,483,71,300,2156,309,2206,,90,264,2,20,1339,302,496,489,1,31,582,432,17,X325,307,676,8,160,12,243,448,1339,9536,79,Yes,20868,603
X327,2,91,488,1399,668,24,264,1153,369,77,34,7826,83,138,158,578,899,13882,09,,298,311,91,276,552,72,304,1197,238,2215,,9,263,2,38,1339,214,578,231,1,57,257,432,35,X327,307,830,8,28,9,130,447,1339,6760,57,Yes,15943,458
X328,2,269,221,2078,1546,869,320,1245,372,83,34,13403,83,490,601,569,899,23701,09,,505,355,269,247,489,74,1048,3083,239,3623,,241,264,2,8,1339,351,993,2103,1,44,996,432,5,X328,307,825,8,186,18,241,455,1339,8769,59,Yes,25741,1199
X329,2,84,292,966,448,170,291,1373,372,80,34,7934,83,408,865,665,899,14875,09,,3,415,84,348,377,74,141,2163,336,2354,1,97,264,2,12,1339,238,633,444,1,37,561,432,9,X329,307,844,8,8,288,141,452,1339,6764,69,Yes,17013,200
X339,2,165,196,2137,861,149,304,1182,373,84,34,10537,83,405,608,564,899,19669,09,97,619,315,165,453,594,74,348,3586,349,2062,,94,264,2,104,1339,127,275,1441,1,212,2198,432,102,X339,307,544,8,115,290,91,457,1339,7442,72,Yes,21918,1153
X365,2,107,709,877,417,24,307,1343,370,76,34,8855,83,216,266,658,899,14418,09,,1,377,107,256,357,70,768,1223,249,2014,1,57,265,2,7,1339,180,604,363,1,31,14,432,4,X365,307,803,8,95,40,150,445,1339,7238,117,Yes,16458,131
X403,2,138,606,1099,46,264,329,1385,367,73,34,8410,83,683,325,733,899,15345,09,,5,321,138,417,567,69,352,2182,276,2132,1,9,264,2,141,1339,183,576,659,1,553,251,432,138,X403,307,1332,8,54,3,175,440,1339,6559,86,Yes,17541,142
X404,2,143,494,1253,811,103,452,1507,374,83,34,7719,83,181,1013,733,899,17128,09,,6,321,143,334,567,76,367,4169,324,2336,1,279,264,2,10,1339,426,508,607,3,47,2086,432,5,X404,307,855,8,55,13,149,457,1339,6137,86,Yes,19257,297
X412,2,164,497,978,1088,684,291,1373,373,80,34,9304,83,411,831,665,899,18811,09,,525,415,164,305,374,74,461,3827,267,3165,1,10,264,2,38,1339,297,521,477,1,734,784,432,35,X412,307,1333,8,71,11,212,453,1339,7256,91,Yes,20908,215
X413,2,118,770,1284,816,458,291,1373,370,75,34,7077,83,141,1038,665,899,17100,09,,134,415,118,271,359,72,156,2747,245,4501,1,17,264,2,26,1339,167,527,1114,1,26,288,432,23,X413,307,1801,8,6,6,1351,445,1339,5367,141,Yes,19156,535
X414,2,135,478,918,1261,508,291,1373,373,82,34,9641,83,251,578,665,899,20036,09,182,7,415,135,350,377,75,482,3305,269,4665,1,11,264,2,81,1339,156,583,389,1,45,1359,432,78,X414,307,2523,8,280,11,287,455,1339,8063,157,Yes,22180,151
X443,2,162,293,1807,433,24,493,1354,371,85,34,10565,83,158,328,522,899,16785,09,,730,338,162,340,707,72,834,1041,309,1856,,97,265,2,31,1339,163,499,451,1,32,200,432,28,X443,307,769,8,9,7,148,455,1339,7902,381,Yes,18919,711
X449,2,99,461,2541,711,242,571,1519,369,81,34,9744,83,199,443,612,899,19033,09,,515,336,99,315,723,71,924,2872,308,2258,,8,264,2,7,1339,481,852,461,1,34,1211,432,4,X449,307,600,8,40,8,86,451,1339,7540,56,Yes,21138,1428
X454,2,67,536,2373,46,24,571,1519,373,83,34,8455,83,153,480,612,899,16329,09,,417,336,67,318,500,74,80,1512,308,2402,,4,264,2,10,1339,235,875,218,1,48,190,432,7,X454,307,480,8,113,575,427,456,1339,7216,252,Yes,18442,1484
X457,2,158,421,1864,334,122,493,1354,370,83,34,9452,83,194,516,522,899,16641,09,,236,338,158,282,634,71,250,1786,269,2028,,170,264,2,14,1339,116,448,503,1,28,583,432,11,X457,307,809,8,17,245,191,453,1339,7690,390,Yes,18715,840
X505,2,103,290,1172,763,319,375,1493,370,75,34,7580,83,148,540,790,899,14033,09,,85,326,103,392,497,72,206,1659,357,2026,1,212,264,2,35,1339,140,324,369,1,38,331,432,32,X505,307,706,8,208,38,195,445,1339,6256,93,Yes,16208,286
X517,2,92,553,1072,594,583,216,978,371,77,34,7678,83,399,327,499,899,13647,09,,104,262,92,306,354,73,54,2057,297,1770,1,6,263,2,9,1339,233,375,692,1,36,326,432,6,X517,307,390,8,110,9,402,447,1339,6165,146,Yes,15738,329
X525,2,104,316,1010,556,263,271,2371,372,79,34,7258,83,409,766,651,899,15672,09,,3,232,104,258,351,74,383,2631,229,2300,1217,6,264,2,29,1339,141,375,425,1,108,1036,432,26,X525,307,1004,8,50,177,188,451,1339,5884,94,Yes,17721,270
X543,2,268,1347,844,1622,837,329,1384,372,80,34,7124,83,220,893,733,899,17182,09,,4,321,268,421,248,75,285,4017,301,3544,1,9,263,2,120,1339,438,863,315,1,47,456,432,117,X543,307,722,8,40,17,320,453,1339,6166,81,Yes,19395,207
X003,2,184,216,2452,934,159,1317,3024,374,84,34,11086,83,220,718,1223,899,23578,10,,224,484,184,288,655,75,143,3897,262,2935,,305,265,2,25,1339,178,519,706,1,438,2188,432,22,X003,307,808,8,104,560,114,458,1339,9317,65,Yes,25662,1407
X007,7,255,251,1860,653,77,287,1438,371,85,34,10008,83,148,501,803,899,19004,10,173,86,348,255,343,648,73,440,3757,265,1686,,239,264,2,78,1339,162,349,1079,1,745,1849,432,70,X007,307,558,8,48,11,114,457,1339,7869,97,Yes,21143,822
X008,2,157,113,1365,568,58,326,1112,371,84,34,9174,83,171,255,523,899,15628,10,,2,263,157,351,565,72,411,2287,269,1534,,110,264,2,82,1339,123,185,466,1,409,1329,432,79,X008,307,540,8,51,106,134,455,1339,7901,60,Yes,17773,410
X009,2,235,187,1873,476,238,289,1707,370,84,34,9055,83,148,216,850,899,16838,10,109,306,568,235,328,564,72,77,2325,321,1642,,169,264,2,7,1339,98,283,564,1,508,969,432,4,X009,307,719,8,32,10,153,454,1339,7590,168,Yes,18958,920
X015,3,192,967,2080,329,197,382,1118,371,78,34,8315,83,141,531,529,899,16464,10,119,505,207,192,258,950,72,30,3453,248,1306,,10,265,2,10,1339,125,404,349,1,899,613,432,6,X015,307,487,8,86,10,75,449,1339,7101,90,Yes,18510,740
X020,2,173,239,1708,640,120,451,1192,371,79,34,8054,83,150,246,532,899,16037,10,68,474,208,173,331,615,72,132,3091,250,1819,,111,264,2,81,1339,137,209,490,1,498,1782,432,78,X020,307,588,8,41,233,150,450,1339,6507,146,Yes,18156,703
X023,2,349,214,3546,767,107,367,1475,378,97,34,12805,83,167,611,784,899,28019,10,,1146,324,349,330,710,79,439,7615,303,2228,,225,265,2,27,1339,148,446,786,1,440,6095,432,24,X023,307,838,8,76,20,156,475,1339,9909,54,Yes,30162,2446
X024,2,78,61,1725,46,25,308,1695,361,68,34,8250,83,78,385,705,899,15360,10,,394,401,78,403,329,67,36,2482,255,1131,281,10,260,2,148,1339,95,245,123,1,365,1550,432,145,X024,307,731,8,11,21,88,429,1339,7499,96,No,17530,1007
X032,2,173,160,1940,854,188,214,846,373,88,34,9715,83,301,505,419,899,17282,10,,446,213,173,276,709,74,230,2852,258,1756,,257,264,2,18,1339,101,280,1074,1,509,1390,432,15,X032,307,380,8,27,48,195,461,1339,7319,58,Yes,19358,841
X033,2,188,416,1355,531,82,367,1428,369,82,34,8216,83,210,202,480,899,14684,10,74,382,282,188,325,582,71,158,1928,316,1569,299,110,264,2,9,1339,84,210,297,1,286,784,432,6,X033,307,608,8,8,8,212,451,1339,6991,57,Yes,16799,384
X037,2,157,285,2789,868,103,375,805,373,81,34,9303,83,140,66,428,899,19233,10,,530,3,157,317,674,73,49,3657,262,2522,,188,265,2,55,1339,146,349,526,1,277,2779,432,53,X037,307,864,8,189,65,375,454,1339,7615,64,Yes,21342,1725
X045,2,135,100,1328,697,148,222,1307,372,81,34,9487,83,481,546,702,899,15760,10,77,67,247,135,380,591,73,163,2095,258,1406,136,15,265,2,122,1339,141,224,473,1,175,908,432,119,X045,307,365,8,87,12,109,453,1339,8088,110,Yes,17932,348
X046,2,179,261,1840,436,92,268,1288,373,87,34,9536,83,556,345,463,899,17259,10,,464,171,179,291,645,73,46,2263,274,2154,385,179,265,2,18,1339,108,173,526,1,404,1052,432,15,X046,307,766,8,81,212,567,460,1339,7440,242,Yes,19348,805
X051,2,127,174,2793,621,24,343,3128,371,84,34,9506,83,250,67,414,899,20736,10,,603,165,127,328,665,73,89,2737,320,2446,2206,10,264,2,8,1339,200,775,567,1,38,2234,432,5,X051,307,858,8,51,14,178,455,1339,7870,63,Yes,22858,1739
X054,2,195,144,2298,661,295,480,1659,371,86,34,9219,83,451,493,845,899,18610,10,,597,334,195,322,675,73,393,3302,280,1936,,285,264,2,43,1339,163,400,458,2,756,1451,432,39,X054,307,756,8,82,12,107,457,1339,6891,61,Yes,20728,1234
X056,2,144,443,1465,283,144,942,1992,368,79,34,8529,83,509,33,612,899,15345,10,117,313,247,144,265,633,70,467,1719,257,1495,191,190,264,2,8,1339,138,316,465,1,226,618,432,5,X056,307,633,8,128,94,169,447,1339,6386,69,Yes,17395,442
X059,2,291,262,2470,643,178,379,1580,371,85,34,11981,83,164,510,814,899,21815,10,,871,327,291,385,850,73,123,3377,267,2115,60,217,264,2,118,1339,132,384,452,1,746,1550,432,115,X059,391,978,8,44,11,99,457,1339,10036,71,Yes,23995,1146
X079,2,725,744,2370,1424,296,242,1295,385,107,35,14387,83,815,1150,676,899,32687,10,,848,377,725,306,768,81,594,8503,293,5407,,73,269,2,14,1339,526,1449,2524,1,3324,2463,432,11,X079,307,2066,8,136,138,331,492,1339,9334,60,Yes,34824,1213
X080,2,161,228,1551,537,428,400,1074,371,80,34,9829,83,447,632,406,899,17385,10,,355,268,161,308,481,73,183,2788,256,1983,,180,264,2,52,1339,126,345,786,1,430,946,432,49,X080,307,644,8,101,351,105,451,1339,7718,57,Yes,19483,680
X081,2,156,156,2221,510,25,332,1187,367,77,34,8481,83,148,400,606,899,16123,10,,655,249,156,266,390,70,54,2167,258,1910,,221,262,2,8,1339,180,312,621,1,348,1058,432,5,X081,307,936,8,6,8,144,444,1339,6687,87,Yes,18172,1442
X085,2,255,139,2132,635,219,181,589,374,88,34,10950,83,524,308,406,899,18724,10,,125,3,255,318,863,74,164,2932,276,1866,,120,265,2,42,1339,98,198,1215,1,374,1795,432,39,X085,450,820,8,118,55,158,462,1339,8620,61,Yes,20843,737
X086,2,155,441,2168,530,130,386,934,371,85,34,8634,83,236,405,405,899,15397,10,,590,143,155,289,663,73,121,2115,266,1392,,143,264,2,23,1339,65,139,301,1,419,653,432,20,X086,307,490,8,78,11,221,456,1339,6967,196,Yes,17481,1116
X091,2,170,59,2146,498,76,351,1434,371,85,34,9360,83,145,334,682,899,17109,10,,291,401,170,418,678,72,74,2373,270,1627,,153,265,2,148,1339,98,316,551,1,436,1370,432,145,X091,410,611,8,113,10,192,456,1339,7907,125,Yes,19322,975
X094,2,169,64,1704,704,229,289,1059,369,80,34,8629,83,461,442,554,899,15957,10,,215,217,169,273,626,71,120,2649,256,1748,,201,264,2,17,1339,94,203,457,1,413,1408,432,14,X094,307,656,8,45,9,176,449,1339,6968,160,Yes,18017,688
X095,2,132,146,2566,591,102,376,1245,369,77,34,8947,83,187,495,492,899,16578,10,,337,301,132,397,677,71,198,2134,246,1554,76,102,264,2,151,1339,83,177,598,1,413,895,432,148,X095,307,603,8,38,94,88,446,1339,7426,58,Yes,18760,1500
X118,2,150,153,1516,620,231,265,956,370,78,34,7647,83,140,434,496,899,13832,10,,250,195,150,294,533,72,83,1846,264,1718,,10,264,2,29,1339,150,185,492,1,291,586,432,26,X118,307,317,8,59,413,183,448,1339,6525,86,Yes,15912,594
X141,2,33,149,975,521,109,338,1220,367,71,34,7815,83,137,556,507,899,13226,10,36,92,374,33,311,289,71,70,1822,241,1360,1,94,262,71,70,1339,71,179,240,1,272,628,432,67,X141,307,488,8,60,92,80,439,1339,6972,79,Yes,15314,297
X159,2,208,336,2595,753,249,178,1929,373,89,34,11217,83,333,45,415,899,21193,10,,796,167,208,387,588,74,1154,2271,284,2974,1170,19,264,2,104,1339,359,930,921,1,45,1237,432,101,X159,307,1175,8,7,11,105,462,1339,7919,65,Yes,23381,1617
X205,2,201,51,1220,381,67,717,1219,370,83,34,9267,83,165,339,391,899,14650,10,,113,111,201,311,631,72,230,1348,245,1395,,10,264,2,66,1339,138,220,747,1,181,572,432,63,X205,307,695,8,25,9,91,454,1339,7916,59,Yes,16753,200
X206,2,170,231,1666,422,384,666,2010,372,83,34,9658,83,419,818,905,899,18561,10,,350,439,170,327,775,73,170,3072,262,1984,,331,264,2,65,1339,217,544,937,1,250,1172,432,62,X206,307,497,8,110,300,220,455,1339,7270,69,Yes,20682,502
X207,2,246,109,2245,758,25,178,3829,369,82,34,9558,83,165,305,19,899,20374,10,,471,3,246,306,635,71,642,2678,247,1817,3630,10,264,2,59,1339,191,475,833,1,479,1570,432,57,X207,307,399,8,21,80,104,451,1339,7350,64,Yes,22469,1220
X209,2,175,274,1432,660,25,525,1249,369,81,34,9068,83,190,399,513,899,16781,10,,600,211,175,270,672,71,273,2505,256,2352,,9,264,2,14,1339,310,767,846,1,30,1467,432,11,X209,307,803,8,19,7,115,450,1339,7049,80,Yes,18841,370
X213,2,181,505,971,994,421,253,1223,372,80,34,8516,83,211,676,599,899,16529,10,,2,370,181,288,333,74,210,2314,279,3324,1,10,264,2,10,1339,322,672,472,1,61,329,432,7,X213,307,1433,8,168,10,214,452,1339,7300,140,Yes,18608,248
X225,2,134,438,900,675,84,403,1617,371,77,34,7867,83,295,400,787,899,13940,10,,4,425,134,237,318,73,121,1659,224,1763,1,10,263,2,13,1339,280,435,944,1,33,425,432,10,X225,307,385,8,46,9,258,448,1339,6351,94,Yes,15963,193
X226,2,242,233,2140,849,25,553,2151,372,86,34,9752,83,230,644,1107,899,18751,10,,220,491,242,339,702,73,555,2264,269,2202,,81,264,2,70,1339,141,507,472,1,366,855,432,68,X226,307,747,8,132,10,88,458,1339,7912,148,Yes,20887,1049
X228,2,187,301,1511,1387,25,212,8890,371,80,34,10322,83,280,559,500,899,26301,10,,3,160,187,289,638,73,389,1552,280,3839,8017,805,263,2,8,1339,335,843,191,1,47,284,432,5,X228,307,1453,8,24,16,141,451,1339,8571,58,Yes,28379,483
X237,2,123,228,991,429,479,465,1538,370,76,34,7335,83,231,653,672,899,13430,10,,127,400,123,303,381,73,158,1691,295,1752,1,9,263,2,8,1339,158,494,988,1,36,138,432,5,X237,307,555,8,70,76,198,446,1339,5672,77,Yes,15517,220
X243,2,141,547,1079,809,291,388,1351,372,80,34,8389,83,147,679,573,899,16150,10,125,67,388,141,376,405,74,275,2850,276,2341,1,10,264,2,100,1339,171,382,355,1,345,693,432,97,X243,307,886,8,272,10,255,452,1339,7125,136,Yes,18316,284
X244,2,147,387,1160,800,183,464,1535,373,83,34,9042,83,156,889,671,899,16401,10,,262,400,147,325,479,74,435,2808,278,1709,,165,265,2,47,1339,39,317,794,1,283,1026,432,44,X244,307,191,8,84,317,84,456,1339,7083,61,Yes,18521,292
X246,2,237,286,1700,546,381,262,658,373,87,34,10380,83,169,498,394,899,17061,10,,258,3,237,333,612,73,44,2554,268,1532,,267,265,2,65,1339,154,314,1047,1,477,758,432,62,X246,307,409,8,48,8,255,460,1339,8423,121,Yes,19192,698
X254,2,154,329,1915,1187,225,418,1855,374,84,34,8971,83,436,544,1025,899,18383,10,,487,412,154,503,969,74,42,2748,282,2739,,162,266,2,221,1339,143,508,503,1,154,1353,432,218,X254,307,650,8,107,270,124,458,1339,7150,82,Yes,20682,557
X268,2,229,947,946,46,119,361,1178,367,72,34,7083,83,162,443,586,899,13664,10,,1,229,229,326,364,69,512,2019,317,2210,1,9,264,2,9,1339,467,440,436,1,9,33,432,6,X268,307,1205,8,908,2,517,440,1339,4900,152,Yes,15768,192
X279,2,149,245,1482,379,187,257,1016,372,82,34,9669,83,539,358,503,899,15966,10,78,645,34,149,305,637,73,182,2470,263,1180,223,160,264,2,42,1339,97,225,465,1,486,1019,432,39,X279,307,471,8,159,11,94,454,1339,7367,151,Yes,18064,455
X280,2,80,221,1620,438,123,400,1074,370,78,34,8039,83,151,335,406,899,14042,10,46,136,268,80,334,615,71,322,1996,244,1233,,10,264,2,91,1339,95,244,687,1,358,818,432,87,X280,307,323,8,36,131,97,447,1339,6606,90,Yes,16162,616
X284,2,115,503,858,889,51,253,1223,372,78,34,9088,83,164,336,599,899,15551,10,,2,370,115,301,234,73,302,1466,268,2801,1,13,264,2,34,1339,265,554,623,1,52,259,432,31,X284,307,847,8,170,388,122,449,1339,7689,124,Yes,17640,234
X291,2,228,499,1604,625,24,382,1114,371,84,34,9584,83,338,61,526,899,15715,10,,394,207,228,379,609,72,298,1664,315,1521,,10,265,2,63,1339,246,373,981,1,28,805,432,60,X291,307,424,8,144,9,90,455,1339,7358,60,Yes,17887,605
X306,2,195,265,2329,449,168,462,1425,371,84,34,9368,83,459,490,629,899,18677,10,,349,334,195,389,769,73,427,3860,326,1501,,146,264,2,63,1339,118,268,363,1,644,2174,432,59,X306,307,564,8,98,118,101,455,1339,7445,79,Yes,20859,1171
X307,2,184,347,1271,522,25,694,4644,368,80,34,9178,83,151,33,648,899,19693,10,,415,270,184,269,662,70,248,1825,262,2591,3032,13,263,2,8,1339,244,708,996,1,956,220,432,5,X307,307,865,8,20,7,490,448,1339,7276,57,Yes,21749,219
X308,2,92,311,1593,663,197,311,4467,371,80,34,7383,83,131,475,388,899,17880,10,,358,144,92,378,522,73,119,2210,351,2135,3623,10,264,2,27,1339,201,712,871,1,44,981,432,24,X308,307,569,8,67,11,179,451,1339,5735,91,Yes,20048,682
X310,2,209,178,2061,546,75,219,1201,370,83,34,8548,83,157,333,691,899,16148,10,,86,291,209,290,632,72,164,2256,271,1873,,153,264,2,19,1339,135,293,727,1,499,1035,432,16,X310,307,774,8,7,10,250,454,1339,7186,67,Yes,18230,1039
X315,2,194,220,1573,742,25,892,3697,371,79,34,8625,83,195,997,670,899,20480,10,,462,250,194,284,741,72,121,3159,250,3233,1885,11,264,2,34,1339,325,1048,714,1,30,1562,432,31,X315,307,1084,8,22,7,351,450,1339,7039,59,Yes,22552,443
X319,2,380,474,882,47,578,382,4626,372,78,34,10575,83,630,418,1640,899,22743,10,,7,669,380,300,272,73,98,2202,292,4078,1936,7,264,2,8,1339,579,1113,2391,1,35,118,432,5,X319,307,2658,8,129,9,252,450,1339,7218,94,Yes,24831,220
X331,2,127,479,1937,1159,25,462,1423,374,85,34,9974,83,690,718,628,899,19935,10,,100,334,127,366,778,75,595,3443,359,3030,,10,265,2,7,1339,193,545,599,1,356,1671,432,4,X331,307,863,8,128,260,203,460,1339,7790,61,Yes,22099,769
X340,2,167,215,1397,318,25,326,347,370,82,34,9487,83,276,255,19,899,14770,10,,581,3,167,348,589,72,344,2112,261,1259,,209,264,2,87,1339,149,363,408,1,35,1434,432,84,X340,307,315,8,23,169,94,452,1339,7573,71,Yes,16909,419
