,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Debt_Service,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Other_SystemWide_Obligations_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Retiree_Health_and_Welfare,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Special_Commissioner_for_Investigation,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,SystemWide_Obligations,Teachers,Text_Books,Title_1,Total,Transportation
M345,4,71,282,1160,610,26,400,1324,344,58,40,8730,89,45,536,591,747,18284,01,231,309,332,71,324,341,70,480,3975,286,3024,,7,234,,38,1200,343,786,796,0,766,1792,445,33,M345,303,975,8,62,442,210,402,1200,6957,74,Yes,20209,427
M361,2,84,323,1761,37,135,389,1071,339,57,39,8984,89,75,308,373,747,16204,01,2,350,309,84,327,720,66,108,2976,296,1329,,448,235,4,31,1200,325,802,329,1,306,1577,445,29,M361,303,326,8,32,11,153,396,1200,7573,65,Yes,18128,649
M363,3,103,137,1374,37,27,435,1788,339,60,39,9298,89,124,329,1073,747,18567,01,2,698,280,103,302,369,67,103,4673,292,1332,,183,233,4,10,1200,285,649,595,1,92,3799,445,7,M363,303,516,8,47,13,117,400,1200,7439,104,Yes,20469,613
M364,2,135,106,1151,37,191,540,1529,339,58,39,7853,89,27,379,750,747,15662,01,2,437,239,135,303,334,66,88,3474,287,1519,,10,234,4,16,1200,218,591,678,1,74,2503,445,13,M364,303,713,8,42,10,168,396,1200,6495,72,Yes,17561,424
M378,3,58,448,2103,992,27,437,1576,342,57,39,7882,89,59,462,825,747,17412,01,2,343,315,58,352,486,68,546,2596,339,3196,,16,234,4,12,1200,72,1250,225,1,89,1496,445,9,M378,303,337,8,153,12,606,399,1200,6391,145,Yes,19362,1225
M448,3,97,449,708,307,40,411,1401,345,58,40,8869,89,419,741,853,747,15052,01,2,209,134,97,657,203,72,297,2443,622,1535,2,11,233,4,35,1200,155,433,463,1,156,900,445,31,M448,303,655,8,13,14,127,403,1200,7336,116,Yes,17312,112
M450,3,135,434,933,325,146,447,1183,345,58,40,8977,89,44,787,479,747,16296,01,126,10,254,135,327,340,72,51,3640,285,1428,2,10,233,4,42,1200,316,432,646,1,522,1310,445,39,M450,303,397,8,90,13,262,403,1200,8015,107,Yes,18227,201
M509,2,129,698,1171,972,751,437,1580,348,58,41,11524,89,449,602,826,747,22127,01,2,34,315,129,335,452,73,340,5066,295,2657,2,327,234,4,40,1200,384,710,1606,1,387,2242,445,37,M509,303,866,8,533,11,98,406,1200,8121,110,Yes,24069,326
M515,1,233,669,1005,424,307,437,1578,341,51,40,9325,89,503,833,826,747,17492,01,104,293,315,233,657,481,67,310,2418,421,2933,2,224,234,6,236,1200,440,444,765,1,23,44,445,233,M515,303,1530,8,308,108,427,392,1200,6793,122,Yes,19742,131
M539,1,84,272,1139,431,82,388,1016,332,42,37,6194,89,12,288,370,747,10615,01,0,3,257,84,190,264,62,145,1089,186,1093,2,73,232,70,4,1200,51,170,198,0,159,236,445,2,M539,303,356,8,12,2,134,374,1200,5533,149,No,12380,483
M650,1,204,714,704,826,230,421,950,339,48,40,12205,89,3361,630,270,747,19753,01,74,6,258,204,274,131,67,539,2163,266,3527,2,10,233,4,8,1200,417,1018,270,1,33,66,445,6,M650,303,1519,8,247,3,160,387,1200,7649,120,Yes,21614,181
M696,2,98,262,756,614,26,373,1421,331,41,37,8091,89,56,427,814,747,13152,01,0,0,232,98,288,174,62,259,1141,245,1646,2,205,232,,42,1200,252,400,201,0,1,173,445,40,M696,303,502,8,37,0,131,372,1200,7230,104,No,15012,190
M839,2,104,469,1221,37,446,540,1530,343,56,40,8203,89,188,342,750,747,14517,01,2,145,239,104,294,714,68,103,2323,281,1135,,10,235,4,13,1200,238,550,502,1,84,743,445,10,M839,303,325,8,93,11,212,399,1200,7072,85,Yes,16410,114
M001,2,111,81,1548,302,195,461,1542,342,57,40,9063,89,14,492,860,747,16243,02,2,242,221,111,333,772,66,220,2322,294,1657,,10,236,4,39,1200,336,395,602,1,45,1171,445,37,M001,303,847,8,7,6,108,399,1200,7880,83,Yes,18175,384
M002,2,120,119,1591,217,23,391,1356,342,58,40,9831,89,44,306,677,747,15966,02,2,310,288,120,307,933,66,287,2081,296,987,,157,236,4,11,1200,190,278,579,1,493,948,445,9,M002,303,377,8,47,7,108,400,1200,8291,113,Yes,17872,265
M003,2,120,39,1337,290,28,418,1446,333,55,37,8112,89,17,317,678,747,15599,02,2,182,147,120,324,196,63,206,3392,288,1191,203,233,232,4,36,1200,125,346,378,1,508,2373,445,33,M003,303,448,8,9,10,98,387,1200,6957,127,No,17510,749
M006,4,92,2,1214,407,22,433,1309,333,54,37,7656,89,300,207,551,747,13794,02,0,87,325,92,303,305,63,50,2454,279,1068,,132,233,,24,1200,112,263,555,0,586,1524,445,20,M006,303,293,8,66,8,96,387,1200,6359,107,No,15684,517
M011,2,135,111,1715,325,23,553,1689,341,59,39,9060,89,37,273,878,747,17054,02,2,195,258,135,305,661,67,193,2970,295,1485,,9,235,4,10,1200,165,383,658,1,571,1825,445,7,M011,303,662,8,68,11,103,401,1200,7716,181,Yes,18960,662
M033,3,167,75,2055,410,275,521,1907,341,56,40,9175,89,12,89,1001,747,18744,02,149,242,385,167,334,857,66,102,3782,324,1658,,6,235,,10,1200,251,611,466,0,1056,1888,445,6,M033,303,480,8,37,42,116,397,1200,8242,69,Yes,20675,805
M040,4,101,11,1068,280,22,487,1201,333,53,37,7670,89,72,270,432,747,14345,02,0,75,282,101,297,248,63,107,2966,278,1339,,6,233,,19,1200,153,360,290,0,617,1916,445,15,M040,303,538,8,36,8,154,386,1200,6950,135,No,16228,427
M041,2,77,39,922,246,23,387,1573,333,54,37,7366,89,17,263,802,747,13912,02,2,12,216,77,333,218,63,46,2722,287,1253,168,148,232,4,46,1200,122,296,390,1,481,1791,445,43,M041,303,604,8,37,10,95,387,1200,6623,89,No,15832,312
M042,3,106,179,1178,211,28,457,1225,342,57,40,9493,89,52,200,575,747,15062,02,0,384,193,106,348,690,66,331,1843,327,1216,,202,235,,21,1200,259,296,779,0,408,769,445,17,M042,303,530,8,88,87,92,399,1200,7539,119,Yes,17009,96
M047,4,150,230,2374,2352,980,753,2840,339,56,37,13919,89,150,1310,1118,747,34066,02,0,19,967,150,370,462,69,469,9402,359,5382,2,712,233,0,11,1200,433,1350,1221,1,78,6369,445,6,M047,303,1429,8,18,17,233,395,1200,11169,160,Yes,36031,1519
M051,4,72,113,1807,480,112,432,1083,342,58,40,8315,89,40,562,472,747,16450,02,247,276,179,72,390,957,67,162,3344,328,1829,,5,235,,62,1200,256,659,951,0,712,1342,445,58,M051,303,558,8,29,7,125,400,1200,6784,68,Yes,18440,458
M059,2,75,40,1621,377,23,328,4328,333,54,37,8390,89,347,354,453,747,18281,02,2,7,408,75,298,360,63,145,2625,287,1242,3139,10,233,4,11,1200,131,442,345,1,426,1650,445,8,M059,303,289,8,11,8,125,387,1200,7451,69,No,20165,868
M077,4,85,8,2030,455,22,390,1108,332,52,37,7404,89,966,218,512,747,15059,02,0,170,207,85,280,252,62,158,2592,275,1840,,6,232,,5,1200,238,562,397,0,33,2072,445,1,M077,303,317,8,6,375,131,384,1200,5598,103,No,16923,1385
M089,4,94,34,2392,580,22,340,1314,333,53,37,7493,89,60,153,688,747,15925,02,0,120,287,94,283,351,62,224,3081,277,1549,,28,233,,5,1200,164,398,185,0,295,2412,445,1,M089,303,470,8,33,7,94,386,1200,6745,99,No,17793,1649
M104,2,73,81,1280,511,23,419,1386,338,52,39,6798,89,24,432,725,747,13057,02,65,8,242,73,288,386,66,107,2112,269,1408,,10,234,4,18,1200,96,253,415,1,544,870,445,15,M104,303,357,8,61,167,121,391,1200,6079,91,Yes,14935,501
M111,4,67,128,1462,541,75,375,1477,343,57,39,8791,89,19,362,802,747,16895,02,117,126,300,67,335,606,68,62,3457,323,1642,,174,235,,11,1200,285,384,541,0,533,1956,445,7,M111,303,578,8,54,11,128,400,1200,7752,63,Yes,18830,464
M114,2,72,242,597,475,57,337,1134,330,47,37,7068,89,75,283,621,747,11918,02,2,13,176,72,270,97,61,105,1390,260,1657,,10,232,4,10,1200,187,587,169,1,49,570,445,7,M114,303,449,8,43,12,134,377,1200,6544,106,No,13764,108
M116,2,94,154,1383,244,195,411,1207,332,52,37,7526,89,137,29,644,747,13424,02,2,88,153,94,292,295,62,74,2062,283,1152,,10,233,4,9,1200,122,251,827,1,285,1275,445,6,M116,303,565,8,36,6,86,384,1200,6267,85,No,15300,696
M124,2,86,37,1527,375,66,379,1291,341,55,40,8382,89,32,173,647,747,14124,02,2,418,265,86,446,878,65,139,1693,290,1146,,32,235,4,156,1200,138,249,576,1,39,1237,445,154,M124,303,396,8,126,8,118,396,1200,6953,101,Yes,16166,256
M126,2,66,143,1470,238,229,344,1433,341,55,39,9495,89,55,469,778,747,16389,02,121,173,312,66,293,687,67,193,2669,276,1256,,140,235,4,17,1200,156,293,749,1,460,1092,445,14,M126,303,502,8,34,130,93,396,1200,8074,74,Yes,18278,390
M130,2,114,154,1537,363,23,340,1171,341,56,40,7823,89,14,254,654,747,13602,02,2,342,176,114,294,1009,66,182,1782,281,1174,,10,235,4,13,1200,81,245,281,1,333,935,445,11,M130,303,451,8,9,8,108,397,1200,6889,92,Yes,15493,136
M131,4,92,64,1411,405,176,467,1423,343,56,40,9263,89,426,309,700,747,16628,02,120,146,256,92,359,585,68,303,3141,323,1297,,168,234,,36,1200,162,276,637,0,469,1841,445,32,M131,303,175,8,129,323,118,399,1200,7374,80,Yes,18586,434
M150,4,97,44,1254,9,22,397,4308,333,53,37,9163,89,313,520,485,747,19015,02,0,235,392,97,401,592,62,670,1928,276,2265,3034,6,234,,124,1200,485,1121,511,0,36,821,445,120,M150,303,1036,8,23,6,94,386,1200,7305,99,No,21001,270
M151,4,64,90,1368,9,22,488,21521,332,52,37,10284,89,144,1351,894,747,40837,02,0,950,1877,64,279,344,62,907,3601,274,3998,18262,9,233,,5,1200,33,2250,648,0,31,2074,445,1,M151,303,1233,8,22,5,501,384,1200,7341,265,No,42700,632
M158,4,86,2,1109,333,78,337,974,333,54,37,7569,89,71,169,461,747,13004,02,0,344,176,86,300,327,63,152,2107,285,1158,,146,233,,15,1200,97,285,407,0,520,1244,445,11,M158,303,394,8,8,8,137,387,1200,6343,97,No,14891,390
M167,2,76,92,992,573,23,411,1267,337,52,39,7117,89,17,323,665,747,12350,02,2,102,191,76,280,271,65,58,1613,269,1286,,11,233,4,11,1200,89,202,507,1,440,645,445,8,M167,303,309,8,66,95,108,389,1200,6251,102,Yes,14219,329
M183,4,125,38,1042,251,22,367,1125,333,54,37,7728,89,232,194,596,747,13759,02,0,49,162,125,285,329,63,106,2697,279,1042,,6,233,,5,1200,121,316,448,0,338,1985,445,1,M183,303,357,8,60,8,110,387,1200,6720,108,No,15631,321
M198,4,127,100,1581,588,22,390,1109,342,59,40,8975,89,18,159,512,747,17139,02,32,291,207,127,334,740,67,119,3798,328,1549,,199,235,,5,1200,155,401,426,0,920,2410,445,1,M198,303,465,8,7,9,86,401,1200,7785,129,Yes,19073,448
M212,4,107,8,1237,5,22,372,1209,333,54,37,7314,89,14,409,650,747,14170,02,0,106,187,107,329,336,63,134,3030,320,1273,,264,233,,9,1200,246,593,173,0,707,1637,445,4,M212,303,440,8,41,7,229,387,1200,6478,105,No,16086,508
M217,4,155,168,1851,355,206,379,2124,339,51,39,9423,89,14,251,1116,747,17517,02,169,274,629,155,306,929,65,68,2657,271,1307,,7,235,,36,1200,217,511,549,0,687,960,445,32,M217,303,331,8,45,5,105,391,1200,8381,86,Yes,19414,530
M225,2,77,262,1686,476,25,382,1653,332,45,37,7838,89,26,515,819,747,15608,02,2,415,451,77,266,758,60,147,2115,258,2239,,9,234,4,9,1200,258,684,234,1,40,1012,445,6,M225,303,968,8,20,5,106,377,1200,6920,64,No,17451,536
M234,3,99,32,1067,204,24,356,1771,331,51,37,6950,89,11,139,604,747,12875,02,0,14,327,99,334,231,61,172,1942,314,1047,484,150,232,,19,1200,86,254,459,0,367,1293,445,15,M234,303,488,8,6,5,95,382,1200,6014,124,No,14791,443
M255,2,73,247,721,37,23,487,1357,331,47,37,6694,89,16,336,588,747,12206,02,2,22,282,73,271,73,62,335,1886,261,1476,,10,232,4,10,1200,287,530,636,1,52,939,445,8,M255,303,534,8,31,256,119,378,1200,5529,111,No,14055,255
M260,2,111,222,1085,558,23,553,1689,333,53,37,7241,89,156,389,877,747,14089,02,2,7,258,111,281,82,64,216,1766,271,2197,,10,232,4,10,1200,308,833,1383,1,81,740,445,7,M260,303,651,8,32,12,143,386,1200,5364,69,No,15955,610
M276,3,164,10,2078,5,22,412,434,330,47,37,14111,89,22,1869,22,747,24157,02,0,5,,164,311,364,59,3543,2184,306,5187,,9,233,,5,1200,49,3810,901,0,19,216,445,2,M276,303,1254,8,10,5,112,376,1200,9404,217,No,26044,1322
M288,2,79,361,758,424,23,464,1811,343,54,40,9461,89,26,506,883,747,16146,02,2,9,462,79,283,150,70,343,2104,273,1933,2,10,233,4,10,1200,163,541,261,1,363,685,445,7,M288,303,646,8,107,10,312,398,1200,8583,117,Yes,18026,216
M289,2,118,61,1169,527,23,340,1469,336,50,39,6914,89,19,452,843,747,13774,02,2,200,287,118,275,345,64,344,2183,265,1920,,55,233,4,10,1200,283,734,702,1,52,1309,445,8,M289,303,540,8,36,14,105,386,1200,5466,89,Yes,15635,431
M290,4,103,43,762,250,22,356,970,333,54,37,7418,89,69,215,482,747,12978,02,0,4,132,103,325,257,63,116,2630,320,1096,,6,233,,5,1200,121,317,532,0,657,1573,445,1,M290,303,229,8,5,7,292,387,1200,6589,96,No,14890,113
M294,2,115,278,622,269,301,427,1624,342,54,39,8411,89,34,858,781,747,14462,02,2,7,414,115,283,74,70,411,2409,274,1281,2,18,233,4,10,1200,261,640,356,1,484,224,445,7,M294,303,227,8,156,10,136,397,1200,7324,101,Yes,16342,155
M296,2,135,348,680,468,232,464,1810,341,52,39,7772,89,114,614,883,747,13299,02,2,7,462,135,284,121,69,392,1686,270,1216,2,10,233,4,15,1200,147,572,303,1,57,284,445,12,M296,303,36,8,65,8,134,393,1200,6780,98,Yes,15177,167
M298,4,89,501,1200,9,22,467,1425,342,51,39,7265,89,59,508,701,747,12803,02,0,4,256,89,672,581,68,364,1522,517,1301,2,14,234,,155,1200,210,541,233,0,36,245,445,152,M298,303,585,8,61,6,161,393,1200,6419,111,Yes,15068,227
M300,3,207,469,1004,55,860,464,1650,343,54,40,8070,89,297,706,723,747,15274,02,0,3,462,207,762,368,70,194,2849,725,1494,2,6,234,,37,1200,284,585,221,3,43,486,445,30,M300,303,698,8,90,8,148,397,1200,7141,117,Yes,17633,244
M303,4,102,237,896,425,293,464,1650,346,57,40,9986,89,497,780,723,747,16900,02,0,3,462,102,373,216,72,182,2160,360,2107,2,243,234,0,13,1200,225,581,957,1,56,568,445,8,M303,303,718,8,203,249,134,403,1200,7794,106,Yes,18876,288
M305,3,89,426,653,504,766,427,1464,341,52,40,8732,89,156,450,621,747,14513,02,0,2,414,89,414,73,69,427,2287,354,1288,2,6,233,,60,1200,384,667,590,0,38,222,445,56,M305,303,9,8,72,6,101,394,1200,7377,103,Yes,16521,187
M308,3,176,470,671,552,125,428,1478,344,58,40,8745,89,105,738,631,747,16192,02,257,27,418,176,318,127,72,639,3047,273,2075,2,18,233,,45,1200,307,744,335,0,480,670,445,41,M308,303,618,8,113,11,150,402,1200,7405,102,Yes,18112,152
M312,3,76,73,931,5,22,418,1039,331,47,37,6332,89,12,386,422,747,11937,02,0,36,199,76,270,125,62,111,1474,252,2085,,68,232,,18,1200,157,372,188,0,33,802,445,15,M312,303,651,8,30,950,107,378,1200,5817,71,No,13785,414
M313,2,73,498,786,38,24,511,1352,341,53,39,8710,89,153,804,617,747,14730,02,2,39,223,73,281,235,69,634,2095,271,1714,2,10,233,4,10,1200,320,912,446,1,63,384,445,7,M313,303,599,8,73,9,156,394,1200,7256,96,Yes,16604,158
M316,3,78,655,946,410,980,328,15685,344,54,40,6908,89,75,464,314,747,27850,02,0,1,1,78,362,365,70,436,2497,357,1736,15042,6,234,,5,1200,216,657,500,0,46,136,445,1,M316,303,467,8,15,7,195,398,1200,5770,105,Yes,29809,188
M347,4,212,501,7156,72,164,753,2829,338,58,37,24119,89,333,1400,1112,747,44053,02,0,1873,964,212,930,699,67,714,6932,920,2804,,562,234,0,10,1200,315,1172,1377,1,1027,3526,445,5,M347,303,834,8,23,606,122,396,1200,19125,113,Yes,46579,6064
M374,2,81,353,869,474,226,354,1430,340,50,39,9513,89,53,478,737,747,15216,02,2,7,338,81,274,308,68,76,1432,265,1891,2,9,234,4,9,1200,206,614,341,1,47,121,445,6,M374,303,635,8,68,6,161,390,1200,8836,120,Yes,17080,169
M376,2,201,251,664,5,226,478,1260,337,46,39,6430,89,9,413,583,747,12878,02,0,0,198,201,252,103,65,642,1215,248,3106,2,50,233,,4,1200,274,2104,497,0,11,39,445,2,M376,303,807,8,12,18,173,382,1200,5116,104,Yes,14713,169
M392,2,62,621,898,37,37,511,1350,340,51,39,10399,89,363,887,616,747,18046,02,2,7,222,62,277,238,68,1345,2286,268,3051,2,23,233,4,9,1200,63,1442,1491,1,59,617,445,6,M392,303,1100,8,5,188,284,392,1200,6956,205,Yes,19914,267
M393,8,77,254,918,1295,132,376,1098,343,55,39,10657,89,16,519,550,747,19919,02,0,7,171,77,322,233,70,892,2028,294,5141,2,7,233,10,28,1200,438,2025,902,1,56,629,445,19,M393,303,1138,8,6,9,675,398,1200,8538,279,Yes,21839,293
M394,2,132,847,1186,5,22,467,1425,338,45,39,11057,89,176,872,701,747,18189,02,0,199,256,132,250,640,65,2418,1983,246,2406,2,155,234,,4,1200,227,1200,1609,0,2,13,445,1,M394,303,915,8,5,0,286,383,1200,5442,1052,Yes,20022,154
M397,3,108,21,1506,9,22,412,434,330,47,37,12483,89,51,1050,22,747,23435,02,0,2,,108,269,357,59,2946,2646,265,6258,,245,233,,4,1200,12,4028,934,0,5,1578,445,1,M397,303,2078,8,6,1,143,376,1200,7014,1285,No,25281,757
M399,3,100,346,946,72,529,354,1270,341,51,39,9654,89,185,1374,576,747,18699,02,0,3,338,100,357,275,69,1652,3402,348,3327,2,63,233,0,9,1200,481,2085,426,1,35,636,445,5,M399,303,879,8,27,168,124,393,1200,6916,382,Yes,20648,279
M400,2,77,156,797,813,205,372,2879,340,51,39,6063,89,25,543,433,747,13199,02,45,36,273,77,194,219,68,98,1534,170,1850,1802,73,233,76,23,1200,78,191,192,0,164,342,445,21,M400,303,733,8,84,5,107,391,1200,5370,109,Yes,14984,185
M407,2,94,345,580,573,67,346,1033,332,45,37,6613,89,29,62,496,747,10919,02,2,6,190,94,276,25,64,159,869,258,1730,2,4,232,4,18,1200,147,511,174,1,41,203,445,16,M407,303,519,8,22,5,123,378,1200,6111,104,No,12773,162
M408,2,95,190,609,375,163,372,1372,331,43,37,8855,89,2224,235,812,747,13268,02,2,6,187,95,321,65,62,67,929,310,1408,2,267,232,4,11,1200,189,506,189,1,76,73,445,8,M408,303,422,8,17,3,102,374,1200,5984,98,No,15163,152
M411,1,97,148,729,209,27,411,3492,337,46,39,6027,89,50,690,917,747,12776,02,2,6,238,97,275,180,65,137,1346,266,1086,1927,11,233,41,9,1200,388,535,218,1,26,64,445,6,M411,303,230,8,6,3,108,383,1200,5464,95,Yes,14634,156
M412,3,128,199,716,255,123,418,1042,334,48,37,6766,89,13,311,423,747,13254,02,0,7,199,128,276,124,65,49,2158,254,2443,2,72,232,201,22,1200,270,435,185,0,573,683,445,19,M412,303,586,8,66,920,246,382,1200,6059,115,No,15112,199
M413,2,101,154,681,198,103,434,1477,335,49,37,6686,89,17,543,816,747,12245,02,101,45,227,101,367,123,66,76,2490,270,810,2,10,232,4,97,1200,221,335,349,1,353,1015,445,94,M413,303,129,8,7,9,139,384,1200,6074,106,No,14196,165
M414,2,85,104,799,345,23,418,1202,339,50,39,7282,89,27,459,583,747,12011,02,2,7,199,85,291,241,67,112,982,275,1660,2,145,233,4,16,1200,193,524,224,1,51,150,445,14,M414,303,425,8,6,224,142,388,1200,6533,224,Yes,13890,166
M416,1,125,360,805,37,26,341,7151,332,42,37,8103,89,21,550,997,747,18847,02,2,10,385,125,265,284,62,277,1541,252,1123,5428,10,233,35,13,1200,162,447,345,1,25,415,445,11,M416,303,407,8,93,6,225,374,1200,7203,107,No,20686,129
M418,8,88,98,793,87,195,332,5804,337,47,39,7171,89,10,749,504,747,16045,02,0,5,0,88,289,212,66,179,1390,280,800,4967,6,233,10,9,1200,160,380,422,1,21,168,445,1,M418,303,232,8,76,6,95,385,1200,6358,104,Yes,17919,189
M419,2,76,223,655,784,53,511,2414,343,54,40,7574,89,100,548,752,747,14816,02,179,105,802,76,300,120,70,93,1915,273,2183,348,9,233,4,27,1200,238,523,470,1,63,612,445,24,M419,303,652,8,111,67,157,397,1200,6585,98,Yes,16713,142
