,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Debt_Service,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Other_SystemWide_Obligations_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Retiree_Health_and_Welfare,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Special_Commissioner_for_Investigation,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,SystemWide_Obligations,Teachers,Text_Books,Title_1,Total,Transportation
M015,4,143,246,1957,5,264,697,2405,347,63,41,12506,89,21,638,1128,747,26378,01,0,214,580,143,501,1040,70,194,7332,341,2035,,354,236,,161,1200,354,950,563,0,1400,4429,445,157,M015,303,963,8,73,8,110,409,1200,11015,73,Yes,28489,525
M019,2,89,319,1879,303,222,346,1045,342,60,40,9344,89,90,182,480,747,19397,01,2,249,219,89,522,582,68,80,5150,294,1889,,10,235,4,228,1200,213,742,673,1,1041,3172,445,225,M019,303,720,8,65,9,114,402,1200,8067,106,Yes,21521,904
M020,4,100,256,1975,222,75,406,1408,344,59,40,10062,89,106,500,763,747,18016,01,0,363,239,100,458,935,68,245,3351,335,1122,,7,236,,123,1200,339,349,401,0,506,1676,445,119,M020,303,439,8,152,8,103,403,1200,8662,127,Yes,20077,648
M034,2,63,252,1273,454,355,581,1924,345,58,40,10609,89,49,811,991,747,19629,01,2,129,352,63,316,637,70,244,4054,295,1706,,10,235,4,21,1200,212,541,864,1,910,1511,445,17,M034,303,579,8,54,16,116,404,1200,9187,69,Yes,21549,244
M063,3,168,388,2456,37,398,435,1788,347,65,40,15222,89,39,510,1073,747,28541,01,2,1388,280,168,320,1145,71,237,6996,310,1911,,278,236,4,10,1200,404,1084,643,1,1927,3367,445,7,M063,303,674,8,71,14,103,411,1200,12421,141,Yes,30472,918
M064,3,134,255,1862,523,211,540,1530,345,63,40,11516,89,47,845,750,747,22514,01,2,313,239,134,333,714,70,76,5314,297,2159,,10,235,4,36,1200,287,707,1079,1,1219,2495,445,33,M064,303,789,8,79,17,123,409,1200,9783,126,Yes,24455,755
M110,2,83,171,1583,370,144,379,1411,340,58,39,9500,89,136,226,829,747,16753,01,2,303,202,83,341,583,67,272,3090,288,1085,,239,234,4,52,1200,184,433,331,1,204,2159,445,49,M110,303,163,8,54,11,110,399,1200,8089,73,Yes,18692,608
M134,2,67,221,1625,479,441,469,1686,343,58,40,11288,89,75,421,833,747,19442,01,2,1186,384,67,307,933,67,338,3176,298,1600,,11,235,4,9,1200,309,601,828,1,565,1217,445,7,M134,303,397,8,51,9,114,401,1200,8708,88,Yes,21349,299
M137,4,139,361,2210,740,721,469,1513,343,61,40,13315,89,51,17,660,747,28814,01,0,1021,384,139,342,864,68,582,9213,337,2423,,6,235,,5,1200,515,907,1528,0,1562,6037,445,1,M137,303,633,8,54,8,135,404,1200,10003,70,Yes,30760,954
M140,2,53,417,1644,458,372,328,1566,345,58,40,10802,89,423,445,910,747,19674,01,2,267,328,53,297,791,69,343,3918,284,1691,,154,235,4,13,1200,179,582,600,1,759,1742,445,9,M140,303,468,8,110,56,127,402,1200,8834,68,Yes,21573,461
M142,4,118,198,2339,829,27,389,1423,345,61,40,11060,89,50,220,786,747,21747,01,0,558,248,118,348,1242,69,339,5019,337,1787,,305,236,,11,1200,307,512,285,0,969,3299,445,7,M142,303,323,8,119,40,83,407,1200,9253,152,Yes,23701,705
M184,1,94,371,1217,260,92,445,1490,338,48,39,7458,89,41,210,761,747,12694,01,2,199,283,94,350,666,64,121,1298,336,1136,,86,235,4,14,1200,110,365,673,1,35,477,445,12,M184,303,334,8,23,10,168,386,1200,6193,118,Yes,14629,159
M188,2,105,682,1437,775,593,505,1888,344,58,40,10644,89,45,728,1077,747,20644,01,2,696,307,105,765,892,69,412,4355,285,2215,,575,235,4,480,1200,377,638,328,1,844,1128,445,477,M188,303,383,8,86,291,128,402,1200,8410,87,Yes,23011,152
M292,2,95,360,814,615,206,400,1486,343,56,39,8523,89,465,711,752,747,14961,01,2,100,332,95,372,262,71,348,2243,351,1800,2,11,233,4,22,1200,200,435,663,1,83,682,445,19,M292,303,558,8,35,12,180,399,1200,6788,109,Yes,16933,159
M301,3,58,168,1454,673,27,346,1043,343,60,39,8565,89,131,444,478,747,16139,01,300,9,219,58,299,588,69,70,2249,288,2771,,10,234,4,11,1200,342,907,571,1,110,857,445,7,M301,303,637,8,74,432,123,402,1200,7624,71,Yes,18040,473
M315,2,138,210,1379,826,27,389,1058,338,57,39,9328,89,44,285,361,747,18952,01,2,447,309,138,324,310,66,156,4284,287,2765,,8,233,4,37,1200,427,1117,310,1,746,2587,445,34,M315,303,696,8,68,9,117,395,1200,8227,64,Yes,20870,676
M332,5,135,354,1878,713,1342,400,1324,351,65,41,11800,89,103,852,592,747,22255,01,454,235,332,135,446,807,74,860,4651,299,2466,,9,236,,146,1200,449,1136,1049,0,95,1105,445,142,M332,303,443,8,146,18,156,416,1200,9300,99,Yes,24316,679
