,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Debt_Service,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Other_SystemWide_Obligations_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Retiree_Health_and_Welfare,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Special_Commissioner_for_Investigation,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,SystemWide_Obligations,Teachers,Text_Books,Title_1,Total,Transportation
M184,0,90,140,1277,529,68,278,999,382,74,34,7697,65,54,225,443,671,12413,01,1,199,278,90,288,653,84,217,994,260,1356,,20,264,2,28,1145,135,386,442,0,47,378,466,28,M184,308,363,8,23,7,72,456,1145,6621,118,Yes,14302,251
M188,0,126,489,1611,469,123,401,1388,388,87,34,11444,65,97,662,710,671,19305,01,1,497,276,126,329,998,89,232,3087,301,1649,,326,266,2,29,1145,224,558,181,0,353,1235,466,29,M188,308,415,8,41,8,199,475,1145,9858,211,Yes,21254,240
M292,0,112,445,955,875,62,357,1373,392,92,34,10394,65,542,459,728,671,17405,01,1,179,283,112,309,230,93,304,2358,285,2213,6,22,266,2,24,1145,201,542,270,0,72,1119,466,24,M292,308,685,8,92,11,100,485,1145,8923,61,Yes,19344,352
M301,0,117,130,1764,65,748,471,962,391,91,34,12567,65,636,725,226,671,21114,01,497,5,265,117,375,664,90,44,3785,352,1919,,22,267,2,23,1145,647,1260,404,0,80,957,466,23,M301,308,466,8,31,13,114,482,1145,11353,70,Yes,23116,727
M315,0,100,215,1655,718,26,170,493,374,71,34,10211,65,114,893,47,671,18559,01,1,639,276,100,314,296,79,258,3941,286,2160,,19,261,2,28,1145,325,883,427,0,686,1796,466,27,M315,308,480,8,34,9,70,445,1145,8650,68,No,20462,986
M332,0,202,512,1988,796,2291,356,1363,394,96,34,13128,65,717,1246,725,671,28560,01,863,429,282,202,358,732,92,148,8397,338,3482,,26,268,2,19,1145,663,1799,937,0,83,2739,466,19,M332,308,709,8,251,21,157,490,1145,10512,105,Yes,30552,882
M345,0,111,224,1712,706,25,356,1363,390,89,34,10392,65,592,693,725,671,20849,01,1,453,282,111,346,553,90,98,4104,325,3167,,29,266,2,21,1145,308,848,354,0,866,1988,466,21,M345,308,1066,8,57,453,94,479,1145,8770,34,Yes,22818,786
M361,0,98,171,1115,65,25,170,493,373,68,34,10542,65,71,366,47,671,17015,01,1,448,276,98,354,421,78,137,3353,313,1414,,30,262,2,41,1145,331,877,194,0,314,2145,466,41,M361,308,362,8,29,6,104,441,1145,9598,34,No,18954,320
M363,0,135,120,1835,65,26,529,1564,374,71,34,9411,65,129,366,800,671,18437,01,1,229,235,135,309,329,79,56,4288,286,1204,,204,261,2,23,1145,226,642,251,0,68,3480,466,23,M363,308,417,8,32,11,70,444,1145,8421,86,No,20335,1133
M364,0,120,149,993,65,204,362,1162,372,67,34,8525,65,142,435,582,671,16028,01,1,187,218,120,593,369,77,129,3524,277,1702,,21,261,2,316,1145,220,611,975,0,59,2457,466,316,M364,308,758,8,51,7,262,439,1145,6940,78,No,18204,251
M378,0,109,395,1684,716,487,248,1229,387,86,34,9582,65,119,443,657,671,18416,01,1,151,324,109,307,436,88,618,3877,283,1935,,39,265,2,23,1145,218,775,642,0,73,2260,466,23,M378,308,298,8,136,13,133,474,1145,7792,83,Yes,20340,875
M448,0,120,419,838,514,71,446,1495,390,88,34,9983,65,592,696,869,671,17006,01,1,162,174,120,368,285,91,92,2742,340,1828,6,24,266,2,28,1145,222,561,489,0,188,1145,466,28,M448,308,525,8,12,9,219,479,1145,8544,65,Yes,18997,180
M450,0,121,382,1181,331,549,218,611,388,87,34,9358,194,532,817,83,671,16602,01,142,23,304,121,479,465,90,41,4180,346,1152,6,26,265,2,133,1145,326,403,601,0,321,1643,466,133,M450,308,226,8,17,11,181,475,1145,8046,70,Yes,18701,214
M458,0,81,213,574,759,432,167,440,385,78,34,7969,65,119,633,55,671,13658,01,1,72,213,81,307,61,87,168,1765,285,2829,6,21,264,2,22,1145,354,962,268,0,50,82,466,22,M458,308,967,8,135,4,137,463,1145,7126,57,Yes,15573,140
M509,0,152,858,1736,895,492,250,1240,390,89,34,9775,254,537,747,660,671,19841,01,1,14,325,152,347,596,91,86,4923,311,2015,6,328,265,2,36,1145,348,610,1007,0,331,2146,466,36,M509,308,354,8,290,11,145,479,1145,7360,151,Yes,21812,577
M515,0,165,597,1139,676,346,426,1417,384,80,34,10036,240,795,957,660,671,18110,01,123,179,325,165,315,428,86,501,2351,290,3002,6,231,265,2,25,1145,268,450,561,0,39,20,466,25,M515,308,1501,8,239,11,364,464,1145,7385,144,Yes,20033,162
M539,0,88,293,1080,479,57,217,790,370,55,34,6220,65,155,270,385,671,10370,01,1,8,183,88,194,235,76,77,1141,168,1050,6,84,260,2,27,1145,49,164,76,0,143,328,466,26,M539,308,278,8,9,64,66,425,1145,5718,89,No,12134,472
M650,0,183,242,1262,902,763,166,440,383,74,34,8389,506,92,689,55,671,15828,01,1,1,213,183,315,240,85,295,2198,282,3356,6,21,264,2,33,1145,393,1089,135,0,47,63,466,33,M650,308,975,8,224,3,387,456,1145,7512,106,Yes,17743,207
M696,0,110,242,747,646,29,211,1155,370,54,34,7093,65,106,470,739,671,11829,01,1,2,199,110,339,194,76,146,1214,287,1510,6,188,260,2,52,1145,234,361,106,0,38,200,466,52,M696,308,312,8,49,2,189,424,1145,6397,96,No,13736,179
M839,0,122,244,914,466,611,362,1162,381,78,34,8560,65,198,400,582,671,14915,01,1,145,218,122,365,357,84,57,2719,339,1438,,21,263,2,26,1145,212,552,1204,0,68,1183,466,26,M839,308,305,8,21,9,105,459,1145,6826,87,Yes,16884,184
M001,0,108,83,1373,369,278,300,1315,385,87,34,9915,65,54,585,795,671,17281,02,1,305,220,108,365,727,86,36,2866,319,1706,,21,265,2,46,1145,151,422,283,0,57,1711,466,46,M001,308,837,8,27,8,70,472,1145,9098,87,Yes,19262,272
M002,0,120,102,1587,264,30,324,1102,388,91,34,10087,65,77,240,496,671,15990,02,1,261,282,120,355,961,88,73,2110,317,984,,193,266,2,38,1145,171,269,386,0,394,1173,466,38,M002,308,380,8,26,6,65,479,1145,8999,71,Yes,17968,253
M003,0,133,62,1243,267,29,251,935,371,66,34,7340,65,105,277,536,671,13418,02,1,377,148,133,419,201,77,103,2792,312,977,,165,260,2,107,1145,95,280,236,0,425,1903,466,106,M003,308,344,8,13,7,78,438,1145,6253,84,No,15419,668
M006,0,122,23,1003,475,78,477,1580,372,67,34,7794,65,456,295,838,671,13832,02,1,74,264,122,359,293,77,56,2282,324,1052,,159,261,2,36,1145,114,277,548,0,588,1184,466,35,M006,308,221,8,30,8,70,438,1145,6378,92,No,15775,336
M011,0,138,72,1427,336,216,380,1878,376,72,34,8466,65,57,288,1122,671,15852,02,1,172,377,138,348,425,80,89,2706,313,1238,,21,262,2,35,1145,128,310,544,0,504,1497,466,34,M011,308,495,8,17,7,89,449,1145,7457,107,Yes,17793,629
M033,0,133,66,1875,399,283,402,1445,381,77,34,8793,65,55,111,781,671,16663,02,1,235,263,133,327,765,83,150,3127,300,1289,,20,264,2,27,1145,184,485,233,0,848,1635,466,26,M033,308,247,8,17,33,125,458,1145,7972,109,Yes,18592,737
M040,0,132,48,1024,332,25,231,892,371,67,34,7622,65,109,321,411,671,13924,02,1,99,251,132,346,209,77,155,2964,323,1288,,21,260,2,23,1145,137,359,203,0,669,1764,466,23,M040,308,496,8,18,9,92,438,1145,6921,94,No,15852,443
M041,0,128,46,730,269,25,431,1487,372,68,34,7174,65,42,305,870,671,13547,02,1,34,186,128,334,217,78,91,2919,310,1109,,156,261,2,24,1145,129,283,268,0,501,1911,466,24,M041,308,473,8,16,8,77,440,1145,6460,104,No,15465,140
M042,0,110,142,1329,278,84,269,1071,386,87,34,9717,65,98,245,607,671,15292,02,1,333,195,110,329,906,87,59,1837,306,1228,,181,265,2,23,1145,227,299,511,0,415,723,466,23,M042,308,530,8,79,7,113,473,1145,8347,106,Yes,17239,50
M047,0,172,205,1620,1396,268,963,3159,389,87,34,13027,65,212,1274,1181,671,28960,02,1,11,1009,172,365,318,90,715,7127,334,3856,6,667,265,2,31,1145,450,1289,1193,0,81,4847,466,31,M047,308,1046,8,90,21,104,476,1145,10041,95,Yes,30946,929
M051,0,114,136,3690,662,333,842,5849,387,90,34,10084,65,85,217,936,671,25512,02,1,211,400,114,385,743,88,68,3679,319,2097,3671,39,266,2,66,1145,408,751,911,0,800,1785,466,66,M051,308,346,8,18,9,330,477,1145,8678,72,Yes,27519,2574
M059,0,120,93,1370,364,25,160,662,371,67,34,8226,65,268,373,49,671,14516,02,1,13,453,120,332,306,77,121,2870,306,1269,,21,261,2,26,1145,148,413,553,0,419,1811,466,26,M059,308,322,8,41,10,160,438,1145,7152,55,No,16431,691
M077,0,125,22,2203,531,25,375,1202,370,65,34,7381,65,774,172,616,671,15874,02,1,192,210,125,345,183,77,113,3038,320,1926,,21,260,2,25,1145,241,581,205,0,56,2522,466,25,M077,308,345,8,36,387,82,436,1145,5939,98,No,17799,1648
M089,0,160,22,1805,665,25,182,1165,371,66,34,7570,65,44,308,725,671,15538,02,1,134,258,160,353,287,77,61,3342,321,1497,,46,261,2,32,1145,159,432,146,0,347,2480,466,32,M089,308,325,8,15,10,65,437,1145,7043,78,No,17472,1145
M104,0,102,148,1139,534,26,239,978,382,77,34,7246,65,67,404,513,671,12898,02,1,36,226,102,452,297,84,335,2059,330,1373,,21,264,2,123,1145,100,243,256,0,266,1114,466,122,M104,308,348,8,52,158,91,459,1145,6370,106,Yes,14954,469
M111,0,133,95,1343,375,156,409,1625,386,86,34,10309,65,510,690,1011,671,19174,02,144,151,205,133,337,596,88,96,4091,313,1672,,185,265,2,23,1145,241,405,481,0,578,2187,466,23,M111,308,481,8,127,324,88,473,1145,8724,33,Yes,21128,374
M114,0,101,222,610,460,26,156,695,371,62,34,7964,65,48,299,47,671,12411,02,1,8,492,101,349,96,77,92,1422,326,1618,,21,261,2,24,1145,163,511,114,0,57,655,466,23,M114,308,544,8,35,14,89,433,1145,7595,49,No,14338,141
M116,0,129,84,1269,274,209,540,1270,372,67,34,7741,65,239,223,560,671,14060,02,1,62,171,129,379,279,77,76,2543,304,1108,,21,261,2,75,1145,117,277,597,0,512,1397,466,75,M116,308,473,8,83,6,78,438,1145,6588,73,No,16022,617
M124,0,102,81,1502,399,126,239,1132,381,79,34,8386,65,98,234,594,671,14190,02,91,127,299,102,517,813,83,112,2012,307,1056,,21,264,2,210,1145,90,260,387,0,49,1341,466,210,M124,308,319,8,72,5,73,460,1145,7491,76,Yes,16311,316
M126,0,103,140,1462,493,232,177,1102,383,79,34,9178,65,62,519,596,671,15744,02,128,266,328,103,292,827,85,25,2467,266,1431,,157,265,2,26,1145,150,318,182,0,461,837,466,26,M126,308,410,8,12,127,83,463,1145,8408,64,Yes,17643,263
M130,0,111,145,1554,416,26,309,1000,382,81,34,7428,65,38,214,460,671,13052,02,1,127,231,111,387,1029,84,74,1855,320,1104,,21,264,2,67,1145,84,243,240,0,441,945,466,66,M130,308,371,8,52,6,67,463,1145,6820,54,Yes,15046,152
M131,0,143,203,1529,355,312,366,1384,393,96,34,11373,65,542,751,708,671,20340,02,179,241,310,143,599,793,92,118,4334,326,1578,,23,267,2,273,1145,155,405,596,0,687,2048,466,273,M131,308,500,8,214,246,72,488,1145,9597,38,Yes,22572,363
M150,0,114,30,1329,65,25,400,4385,371,65,34,8533,71,425,616,450,671,19588,02,1,289,415,114,342,550,77,49,2574,319,2653,3121,26,261,2,23,1145,433,1449,1044,0,55,1413,466,23,M150,308,1054,8,11,9,77,437,1145,6608,79,No,21512,401
M151,0,104,54,1699,615,116,2467,5290,372,67,34,8256,65,230,435,2340,671,19848,02,1,214,483,104,347,405,77,370,2730,324,1769,,19,261,2,22,1145,245,718,186,0,59,1820,466,22,M151,308,365,8,19,7,64,440,1145,7167,48,No,21779,920
M158,0,121,278,1025,279,84,248,1000,373,69,34,7471,65,195,237,521,671,13783,02,1,242,231,121,356,245,78,48,3043,330,1123,,165,261,2,26,1145,98,298,384,0,542,1804,466,26,M158,308,446,8,38,8,91,442,1145,6309,88,No,15725,406
M167,0,98,134,875,598,33,250,988,372,64,34,7222,65,43,362,543,671,11981,02,1,182,195,98,365,280,78,63,1505,329,1293,,22,261,2,36,1145,76,197,240,0,321,578,466,36,M167,308,321,8,57,94,84,436,1145,6538,74,No,13926,222
M183,0,136,41,1061,275,25,239,890,372,68,34,8290,65,48,307,497,671,14997,02,1,5,154,136,351,271,77,77,3417,326,1203,,22,261,2,26,1145,128,391,783,3,544,2370,466,23,M183,308,458,8,23,8,71,440,1145,7237,94,No,16933,416
M198,0,123,86,1738,679,113,375,1202,383,83,34,9325,65,63,218,616,671,17978,02,1,608,210,123,338,644,85,130,4036,312,1555,,15,264,2,26,1145,160,407,480,0,1053,2404,466,25,M198,308,378,8,40,12,79,466,1145,7895,91,Yes,19927,721
M212,0,94,42,1075,65,54,369,1073,371,65,34,6917,65,41,480,546,671,13627,02,1,9,158,94,325,338,77,225,3241,302,1227,,384,261,2,23,1145,247,608,90,0,769,1648,466,23,M212,308,464,8,17,5,84,436,1145,6094,56,No,15532,364
M217,0,108,61,1246,448,364,198,2332,371,60,34,7840,65,81,355,1385,671,16040,02,203,155,749,108,400,551,76,28,2864,303,1650,,21,261,2,98,1145,197,526,460,0,586,1099,466,97,M217,308,347,8,32,255,75,431,1145,6997,63,No,18016,322
M225,0,103,223,1671,524,509,242,1384,371,59,34,8614,298,67,348,685,671,16359,02,1,510,458,103,275,610,76,155,2448,253,2137,,21,261,2,22,1145,243,720,142,0,50,1075,466,22,M225,308,815,8,66,4,73,430,1145,7570,81,No,18208,456
M234,0,118,39,911,264,25,201,1552,371,65,34,7460,65,42,186,396,671,13120,02,1,78,346,118,332,158,77,54,2036,302,1042,609,311,261,2,30,1145,89,266,539,0,383,1314,466,29,M234,308,441,8,13,7,65,436,1145,6333,88,No,15033,380
M255,0,102,349,1015,491,36,231,892,371,61,34,6786,65,88,398,410,671,13336,02,1,10,251,102,350,50,77,121,2570,324,1970,,21,261,2,26,1145,298,572,217,0,55,1433,466,26,M255,308,535,8,24,287,85,432,1145,6257,46,No,15263,592
M260,0,108,209,1179,685,26,11399,18496,373,68,34,7865,65,51,533,48,671,31822,02,1,6,5,108,422,266,79,176,1864,340,2309,7044,22,261,2,82,1145,308,802,769,0,69,718,466,82,M260,308,718,8,24,12,92,441,1145,6756,59,No,33829,540
M267,0,93,87,3124,65,25,248,1000,371,64,34,10356,65,52,523,521,671,20241,02,1,2,231,93,329,309,76,625,2210,306,3459,,24,261,2,23,1145,49,2022,419,0,51,1474,466,23,M267,308,1292,8,14,5,76,436,1145,9154,64,No,22150,2442
M276,0,104,32,1157,65,25,191,884,370,64,34,6900,65,52,247,65,671,11794,02,1,292,627,104,323,312,76,165,1899,300,850,,192,261,2,23,1145,134,374,146,0,297,1162,466,23,M276,308,308,8,26,7,96,434,1145,5967,58,No,13696,471
M288,0,104,486,767,470,26,424,1725,386,81,34,10003,65,67,896,763,671,16777,02,1,3,533,104,208,205,88,575,2333,186,1844,6,21,265,2,23,1145,161,552,132,0,63,701,466,22,M288,308,641,8,72,8,173,467,1145,9059,71,Yes,18597,189
M289,0,100,66,1256,610,36,182,1165,372,64,34,7459,65,45,509,725,671,14554,02,1,190,258,100,362,275,78,172,2611,331,1962,,61,261,2,31,1145,283,763,635,0,504,1213,466,31,M289,308,512,8,11,8,69,436,1145,6269,73,No,16496,608
M290,0,122,22,681,316,25,263,703,371,66,34,7643,65,60,265,312,671,12620,02,1,3,128,122,334,290,77,48,2390,304,1081,,21,261,2,30,1145,126,338,300,0,637,1314,466,30,M290,308,333,8,64,6,89,437,1145,7060,84,No,14536,18
M294,0,166,376,645,483,530,498,1600,385,80,34,9956,84,563,748,675,671,16640,02,1,5,422,166,304,87,87,192,3018,269,1255,6,85,264,2,34,1145,87,635,389,0,684,592,466,34,M294,308,29,8,55,10,98,464,1145,8600,65,Yes,18553,166
M296,0,103,386,772,509,258,398,1699,385,80,34,8284,65,227,615,763,671,13778,02,1,5,533,103,208,198,87,716,1691,186,1228,6,21,264,2,23,1145,161,552,119,0,61,210,466,23,M296,308,30,8,59,8,129,465,1145,7038,96,Yes,15596,201
M298,0,114,316,688,504,42,367,1394,373,62,34,7647,65,94,631,710,671,13093,02,1,5,311,114,345,81,79,158,1457,307,1793,6,21,261,2,39,1145,166,573,220,0,56,245,466,38,M298,308,589,8,128,6,120,435,1145,6935,83,No,15017,234
M300,0,145,342,858,475,469,398,1700,386,82,34,8054,65,310,666,763,671,15155,02,1,15,533,145,429,222,88,297,2523,367,1875,6,21,264,2,61,1145,175,532,218,1,66,804,466,60,M300,308,772,8,55,9,87,468,1145,7066,71,Yes,17196,262
M303,0,130,165,876,797,340,398,1700,388,85,34,9251,65,349,802,763,671,16300,02,1,8,533,130,426,329,89,294,2136,387,2208,6,228,265,2,39,1145,167,446,306,0,68,593,466,39,M303,308,614,8,202,237,113,472,1145,7760,101,Yes,18343,174
M305,0,142,425,636,523,814,498,1600,385,80,34,8531,65,114,471,675,671,14863,02,1,138,422,142,428,101,87,405,2467,363,1487,6,77,264,2,65,1145,239,724,183,0,62,455,466,65,M305,308,127,8,80,8,105,465,1145,7435,97,Yes,16900,162
M308,0,161,611,735,593,28,493,1595,385,82,34,8387,65,84,758,675,671,15914,02,251,149,422,161,354,155,88,127,3043,322,1994,6,150,264,2,32,1145,568,702,114,0,473,353,466,31,M308,308,443,8,94,10,247,467,1145,7562,103,Yes,17880,207
M312,0,96,229,819,338,25,221,845,371,61,34,6760,65,50,441,436,671,11545,02,1,13,188,96,351,111,76,86,1605,303,1421,,68,260,2,48,1145,145,375,90,0,54,711,466,48,M312,308,404,8,29,194,110,431,1145,6346,74,No,13472,335
M313,0,141,303,1095,297,1040,761,1632,374,63,34,8510,462,211,979,665,671,16201,02,1,2,200,141,296,159,79,186,2816,259,2007,6,21,261,2,37,1145,328,930,436,0,56,110,466,37,M313,308,640,8,113,6,134,436,1145,7453,85,No,18078,165
M316,0,115,405,788,941,744,157,8896,386,81,34,7138,65,126,584,50,671,21205,02,1,3,315,115,382,201,88,97,2084,360,2184,8374,21,264,2,22,1145,162,619,177,0,59,129,466,22,M316,308,496,8,115,7,122,466,1145,6509,88,Yes,23198,213
M347,0,124,366,7517,483,254,961,3148,393,94,34,25215,65,370,1258,1179,671,45619,02,1,2114,1008,124,377,730,91,208,6507,352,3108,,504,268,2,24,1145,304,960,825,0,1038,3286,466,24,M347,308,816,8,190,742,108,487,1145,20907,96,Yes,47627,6414
M374,0,109,215,835,526,140,290,1246,382,74,34,7637,104,64,442,549,671,12924,02,1,3,402,109,200,214,85,136,1420,177,1677,6,21,263,2,22,1145,155,508,194,0,55,413,466,22,M374,308,554,8,61,5,84,456,1145,7064,93,Yes,14724,209
M376,0,165,126,600,1110,64,305,1096,373,60,34,7839,65,45,364,590,671,12933,02,1,3,195,165,305,23,78,71,990,264,2243,6,20,261,2,42,1145,157,529,212,0,52,226,466,41,M376,308,502,8,79,8,94,433,1145,7327,79,No,14816,204
M392,0,115,350,900,566,31,762,1633,384,77,34,8400,65,86,609,665,671,14654,02,1,7,200,115,357,236,86,175,1613,332,1993,6,19,264,2,25,1145,251,670,699,0,58,315,466,24,M392,308,645,8,51,6,105,460,1145,7284,76,Yes,16616,291
M393,0,110,422,883,643,579,512,1281,384,79,34,8959,65,403,340,568,671,15453,02,1,7,195,110,314,288,87,657,2095,281,2124,6,19,264,2,33,1145,43,729,246,0,67,643,466,33,M393,308,461,8,30,9,282,463,1145,7450,144,Yes,17375,222
M394,0,112,650,989,637,275,367,1394,389,87,34,9889,65,443,585,710,671,17059,02,1,1,311,112,331,465,89,1015,2173,304,2502,6,86,267,2,27,1145,606,904,1083,0,37,17,466,27,M394,308,762,8,169,1,198,476,1145,6681,409,Yes,19011,151
M397,0,86,18,795,65,29,157,2864,369,60,34,7287,65,49,560,223,671,14717,02,1,395,1975,86,333,265,75,97,2015,305,1670,509,18,261,2,28,1145,195,793,387,0,603,609,466,27,M397,308,733,8,4,2,78,428,1145,6178,157,No,16623,157
M399,0,114,350,1111,407,268,290,1246,388,84,34,9285,65,91,603,549,671,16370,02,1,74,402,114,425,316,89,470,2623,396,1991,6,15,265,2,29,1145,212,904,780,0,61,1128,466,28,M399,308,379,8,12,8,293,472,1145,7723,117,Yes,18412,421
M400,0,101,196,775,798,115,300,3182,373,63,34,5899,65,41,665,536,671,13387,02,61,3,328,101,222,211,79,105,1761,187,1670,2016,98,260,75,35,1145,73,198,120,0,192,458,466,35,M400,308,560,8,61,7,108,436,1145,5302,94,No,15190,191
M407,0,77,377,542,760,25,269,855,371,59,34,6103,65,36,55,349,671,10248,02,1,1,231,77,466,10,77,35,740,252,1931,6,21,260,2,214,1145,138,474,115,0,50,94,466,214,M407,308,555,8,43,68,75,430,1145,5761,88,No,12289,159
M408,0,109,259,585,689,155,370,1083,370,56,34,7764,65,1964,270,549,671,12170,02,1,1,159,109,298,60,76,76,981,276,1648,6,265,260,2,22,1145,171,471,77,0,89,38,466,22,M408,308,409,8,12,2,77,425,1145,5307,60,No,14037,152
M411,0,85,184,727,447,26,464,6201,370,55,34,5961,79,34,685,861,671,15546,02,1,1,271,85,335,180,76,89,1250,309,1320,4606,22,260,41,26,1145,276,544,97,0,41,38,466,26,M411,308,261,8,18,2,66,426,1145,5582,76,No,17451,159
M412,0,97,292,651,598,126,222,855,373,62,34,6396,65,45,388,439,671,13089,02,1,16,189,97,354,52,79,106,2351,307,2739,6,72,260,2,47,1145,254,412,110,0,394,897,466,47,M412,308,410,8,22,974,344,435,1145,5882,141,No,15023,226
M413,0,120,227,666,325,172,301,1244,373,62,34,7567,65,56,628,730,671,13210,02,1,74,208,120,349,119,79,74,2699,326,915,6,22,261,2,23,1145,227,353,293,0,329,1116,466,23,M413,308,144,8,13,9,85,436,1145,6946,88,No,15140,174
M414,0,92,133,720,444,25,222,855,372,60,34,7165,65,43,754,439,671,12239,02,1,2,189,92,328,171,78,40,1524,299,1883,6,150,261,2,29,1145,231,559,108,0,50,329,466,29,M414,308,480,8,7,262,137,432,1145,6686,127,No,14144,176
M416,0,88,165,668,65,26,233,6934,370,54,34,7240,65,55,536,812,671,17445,02,1,5,357,88,250,144,76,132,1582,164,933,5532,23,260,214,86,1145,158,457,80,1,38,660,466,85,M416,308,327,8,45,6,78,423,1145,6594,91,No,19263,151
