,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Debt_Service,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Other_SystemWide_Obligations_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Retiree_Health_and_Welfare,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Special_Commissioner_for_Investigation,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,SystemWide_Obligations,Teachers,Text_Books,Title_1,Total,Transportation
M015,0,171,194,1653,65,327,361,2506,391,93,34,15175,65,580,604,1476,671,27446,01,1,246,669,171,341,988,90,281,5802,318,2139,,21,268,2,23,1145,373,1052,389,0,949,3356,466,23,M015,308,928,8,79,9,85,484,1145,13510,67,Yes,29416,292
M019,0,144,182,1968,567,371,471,962,384,82,34,8578,65,77,445,226,671,20942,01,1,169,265,144,335,668,85,202,7461,299,1829,,21,265,2,36,1145,227,633,594,0,764,5470,466,36,M019,308,552,8,27,8,69,466,1145,7391,95,Yes,22888,927
M020,0,108,270,1969,346,75,579,1749,387,89,34,10051,65,563,315,933,671,17987,01,1,433,237,108,351,900,88,67,2819,311,1292,,27,266,2,39,1145,176,348,283,0,371,1611,466,39,M020,308,511,8,96,10,77,476,1145,8498,83,Yes,19958,695
M034,0,119,596,1534,495,497,610,2159,392,93,34,11881,65,533,959,1176,671,21884,01,1,165,373,119,342,737,91,256,4534,316,1657,,33,267,2,26,1145,216,551,754,0,562,1702,466,25,M034,308,525,8,75,11,75,485,1145,9901,162,Yes,23855,424
M063,0,143,312,2313,135,433,529,1564,389,91,34,14459,65,88,667,800,671,28277,01,1,1064,235,143,351,1197,89,224,7753,327,2044,,300,267,2,24,1145,413,1165,574,0,2084,3843,466,24,M063,308,643,8,37,14,87,481,1145,12101,69,Yes,30253,743
M064,0,118,224,2614,557,202,362,1163,389,94,34,11600,65,193,881,582,671,23269,01,1,407,218,118,501,1016,89,170,5742,319,2032,,19,266,2,181,1145,246,643,596,0,1175,3014,466,181,M064,308,715,8,57,18,100,483,1145,9978,179,Yes,25397,1226
M110,0,101,183,1319,440,158,285,1264,372,67,34,9247,65,170,51,754,671,15250,01,1,373,225,101,475,441,77,85,2182,293,1137,,17,261,2,182,1145,180,465,134,6,57,1551,466,177,M110,308,162,8,18,6,64,439,1145,8396,53,No,17309,505
M134,0,99,200,1765,561,534,383,1504,386,87,34,11050,65,87,396,771,671,20028,01,1,658,350,99,339,975,87,60,4047,316,1564,,18,266,2,23,1145,310,613,672,0,1078,1529,466,23,M134,308,291,8,50,9,91,473,1145,9421,81,Yes,21985,416
M137,0,171,154,1704,824,851,383,1504,388,91,34,11519,65,86,657,771,671,25911,01,1,945,350,171,362,665,89,65,8501,322,2512,,20,266,2,40,1145,490,898,816,0,276,6072,466,40,M137,308,654,8,12,10,126,480,1145,9476,95,Yes,27897,666
M140,0,105,395,1865,533,452,163,589,388,88,34,10931,65,549,570,50,671,19223,01,1,434,375,105,346,792,89,206,3873,295,1861,,320,266,2,52,1145,172,593,613,0,743,1541,466,51,M140,308,596,8,54,52,86,476,1145,8699,54,Yes,21189,700
M142,0,141,134,2458,793,28,202,1212,389,92,34,11164,65,518,164,755,671,21201,01,1,647,255,141,355,1196,89,59,4430,319,1796,,337,266,2,36,1145,260,515,199,3,1055,2789,466,34,M142,308,380,8,44,9,98,481,1145,9293,64,Yes,23181,888
