DBN,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation,Name,schoolyear,fl_percent,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,poverty_level,elementary_school,middle_school,high_school
M301,2,169,325,1556,856,820,305,1202,376,89,34,11077,83,234,577,770,20910,1,416.0,4,127,169,365,562,77,121,3647,350,3259,0.0,13,264,3,15,416,1117,482,1,79,1014,12,M301,307,582,22,569,134,465,10129,69,1.0,23079,605,TECHNOLOGY ARTS AND SCIENCES STUDIO,2011,,75.2,186.0,10.8,35.5,9.1,24.7,58.6,5.9,54.8,45.2,31.4419225634,0,1,0
M315,2,39,155,1473,762,28,319,943,367,79,34,10240,83,93,952,601,19318,1,0.0,476,23,39,298,305,71,204,4236,289,2387,0.0,10,262,3,9,373,981,331,1,679,2048,6,M315,307,525,25,11,107,446,9040,59,1.0,21401,779,THE EAST VILLAGE COMMUNITY SCHOOL,2011,,53.1,212.0,3.3,22.6,8.5,13.2,31.6,37.3,59.0,41.0,12.0160213618,1,0,0
M332,2,403,674,1808,717,2211,280,1283,381,97,35,13208,83,201,1405,732,28237,1,611.0,531,271,403,351,645,80,1033,8224,340,3310,0.0,10,266,3,11,669,1722,1690,1,80,2573,8,M332,307,662,69,29,180,479,9433,238,1.0,30405,774,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,2011,,91.0,116.0,19.0,35.3,1.7,25.9,71.6,0.9,55.2,44.8,74.4993324433,0,1,0
M345,2,119,371,1497,576,476,280,1283,373,84,34,9166,83,168,589,732,19506,1,260.0,382,271,119,342,613,75,466,4566,325,2875,0.0,18,264,3,16,300,761,697,1,756,1814,13,M345,307,942,10,453,143,458,7349,73,1.0,21644,495,COLLABORATIVE ACADEMY OF SCIENCE,2011,,85.9,262.0,6.5,28.6,15.3,18.3,63.0,3.1,54.6,45.4,58.344459279,0,1,0
M361,2,67,269,1271,41,30,319,943,366,76,34,9893,83,139,325,601,16998,1,0.0,505,23,67,264,386,69,103,3488,249,1335,0.0,438,263,3,16,322,804,217,1,289,2253,12,M361,307,375,10,9,107,443,8412,67,1.0,19043,496,CHILDREN'S WORKSHOP SCHOOL,2011,,55.0,252.0,7.9,15.1,14.3,12.3,30.6,42.1,47.2,52.8,13.0173564753,1,0,0
M363,2,100,164,1452,41,28,306,1538,367,78,34,9307,83,136,328,873,17326,1,0.0,388,359,100,297,333,71,44,3820,286,1110,0.0,184,262,3,11,217,605,728,1,58,3025,7,M363,307,366,19,13,86,444,7714,91,1.0,19406,729,NEIGHBORHOOD SCHOOL,2011,,40.3,321.0,2.2,21.8,14.0,16.5,28.0,39.6,53.0,47.0,7.20961281709,1,0,0
M364,2,75,135,1078,41,177,454,1320,367,77,34,7831,83,87,397,627,14850,1,0.0,445,238,75,297,331,70,48,3056,281,1490,0.0,12,262,3,16,225,575,691,1,53,2069,13,M364,307,699,69,10,166,444,6388,89,1.0,16930,358,EARTH SCHOOL,2011,,48.0,338.0,3.6,18.3,13.9,11.5,34.3,37.3,51.8,48.2,9.87983978638,1,0,0
M378,2,84,307,1970,568,28,365,1298,371,80,34,8201,83,121,368,602,16133,1,0.0,346,331,84,311,490,73,426,3035,300,1546,0.0,14,263,3,10,198,770,604,1,66,2067,7,M378,307,71,88,16,122,451,6444,154,1.0,18233,1091,SCHOOL FOR GLOBAL LEADERS,2011,,80.4,266.0,13.2,25.9,9.4,21.1,64.3,4.5,46.2,53.8,43.1909212283,0,1,0
M448,2,132,435,806,641,349,347,1449,373,81,34,9571,83,429,726,792,16412,1,0.0,127,309,132,425,243,75,509,2615,296,1839,1.0,16,264,3,128,316,429,606,1,152,637,125,M448,307,520,80,12,237,454,7688,113,1.0,18630,173,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2011,,76.3,488.0,11.1,22.7,22.5,26.2,47.5,3.7,56.4,43.6,33.4445927904,0,0,1
M450,2,144,552,1089,289,447,662,1186,374,83,34,8709,83,178,737,520,16644,1,130.0,10,3,144,347,360,76,164,4233,337,1282,1.0,11,264,3,10,391,366,605,1,417,1559,7,M450,307,335,34,13,279,457,7596,108,1.0,18786,339,EAST SIDE COMMUNITY HIGH SCHOOL,2011,,82.2,599.0,7.0,27.7,8.0,25.4,56.6,9.7,53.3,46.7,48.5981308411,0,1,1
M458,2,109,828,663,331,421,237,706,369,72,34,7839,83,188,626,457,14332,1,0.0,74,10,109,581,91,71,427,2328,270,2688,1.0,6,263,3,311,341,852,373,1,39,73,308,M458,307,875,95,5,624,441,6601,72,1.0,16694,183,SATELLITE ACADEMY HS @ FORSYTHE STREET,2011,,81.4,213.0,1.9,8.9,1.4,27.7,63.8,3.8,45.1,54.9,46.5287049399,0,0,1
M509,2,174,724,1180,471,438,365,1301,374,81,34,9467,83,395,650,603,18450,1,0.0,7,331,174,276,447,75,147,4493,247,1834,1.0,299,265,3,29,328,570,729,1,421,1931,26,M509,307,620,242,12,161,454,7526,120,1.0,20520,344,MARTA VALLE SECONDARY SCHOOL,2011,,91.0,370.0,13.5,21.1,10.5,24.3,63.2,1.6,49.2,50.8,74.4993324433,0,0,1
M515,2,142,614,1049,622,439,365,1301,368,74,34,8809,83,215,821,603,16389,1,72.0,252,331,142,362,484,70,309,2253,271,2834,1.0,202,264,3,90,271,421,684,1,24,11,87,M515,307,1486,202,71,235,442,6817,125,1.0,18531,176,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,2011,,95.5,573.0,84.8,0.3,93.7,2.1,3.5,0.5,56.2,43.8,89.1855807744,0,0,1
M539,2,33,287,1103,443,73,288,790,359,58,34,6399,83,77,224,361,10309,1,0.0,2,139,33,157,211,65,66,1013,144,1037,1.0,72,260,65,13,49,150,96,1,126,254,10,M539,307,342,19,3,99,417,5882,120,0.0,12221,503,NEW EXPLORATIONS INTO SCIENCE TECH AND MATH,2011,,24.4,1583.0,0.4,2.8,26.0,12.1,15.2,45.8,48.4,51.6,2.93724966622,1,1,1
